ce_chng_in_oi,ce_iv,ce_ltp,ce_net_chng,ce_oi,ce_volume,pe_chng_in_oi,pe_iv,pe_ltp,pe_net_chng,pe_oi,pe_volume,spot_price,strike_price,time
-,-,-,-,-,-,-,48.92,23.00,-0.45,18150,1,10127,7300,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,7350,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,7400,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,7450,1003
-,-,-,-,225,-,13650,46.69,26.00,-2.25,140850,394,10127,7500,1003
-,-,-,-,-,-,-,-,-,-,75,-,10127,7550,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,7600,1003
-,-,-,-,-,-,-,-,-,-,2175,-,10127,7650,1003
-,-,-,-,75,-,-,-,-,-,26550,-,10127,7700,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,7750,1003
-,-,-,-,-,-,-,-,-,-,375,-,10127,7800,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,7850,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,7900,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,7950,1003
-600,-,2116.75,61.75,3900,10,-900,41.22,35.55,-3.60,224925,116,10127,8000,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,8050,1003
-,-,-,-,-,-,-,-,-,-,750,-,10127,8100,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,8150,1003
-,-,-,-,-,-,-75,38.84,40.15,-4.85,3900,13,10127,8200,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,8250,1003
-,-,-,-,600,-,-,38.17,45.00,-11.05,2325,2,10127,8300,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,8350,1003
-,-,-,-,-,-,-,35.73,41.25,-14.45,900,1,10127,8400,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,8450,1003
225,-,1649.00,84.95,10725,7,1350,36.23,52.90,-7.30,280575,264,10127,8500,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,8550,1003
-,-,-,-,-,-,-,-,-,-,2700,-,10127,8600,1003
