ce_askprice,ce_askqty,ce_bidprice,ce_bidqty,ce_chng_in_oi,ce_iv,ce_ltp,ce_net_chng,ce_oi,ce_volume,pe_askprice,pe_askqty,pe_bidprice,pe_bidqty,pe_chng_in_oi,pe_iv,pe_ltp,pe_net_chng,pe_oi,pe_volume,spot_price,strike_price,time
613.55,75,610.00,1950,150,61.82,610.00,42.60,792675,621,689.75,75,687.40,75,12675,71.99,689.95,-86.65,1291425,658,8439,8500,0920
607.15,75,602.85,75,1050,62.82,607.05,39.65,793575,686,695.50,75,692.60,150,13950,72.14,693.00,-83.60,1292700,773,8427,8500,0922
614.65,75,610.15,375,1050,63.47,612.00,44.60,793575,864,698.55,75,696.60,150,13950,72.27,696.45,-80.15,1292700,1057,8437,8500,0925
589.70,75,588.00,150,-9450,62.60,589.00,21.60,783075,1574,693.00,75,691.40,75,-23025,71.53,691.25,-85.35,1255725,2596,8409,8500,0927
585.00,75,582.65,75,-9450,62.35,583.00,15.60,783075,1653,699.75,75,698.20,75,-23025,70.79,699.15,-77.45,1255725,2803,8387,8500,0931
588.05,75,586.00,75,-29400,63.42,585.00,17.60,763125,2102,707.00,225,705.65,75,-57300,70.91,707.00,-69.60,1221450,3189,8374,8500,0933
583.35,75,580.50,150,-34125,63.96,581.95,14.55,758400,2426,713.75,75,711.95,75,-65775,70.85,712.20,-64.40,1212975,3511,8365,8500,0937
584.10,75,581.45,75,-34125,63.65,579.90,12.50,758400,2707,698.15,225,695.85,75,-65775,70.19,700.15,-76.45,1212975,4365,8388,8500,0939
584.75,150,581.75,225,-49125,62.72,582.60,15.20,743400,2982,699.55,75,697.00,75,-95325,70.58,697.55,-79.05,1183425,4686,8392,8500,0942
596.65,75,594.00,75,-55500,62.48,596.40,29.00,737025,3220,684.35,75,682.50,75,-108225,70.37,682.00,-94.60,1170525,5004,8432,8500,0945
612.65,300,610.05,75,-61575,62.17,612.40,45.00,730950,3453,663.05,150,660.60,75,-115500,70.04,660.75,-115.85,1163250,5314,8458,8500,0949
