ce_chng_in_oi,ce_iv,ce_ltp,ce_net_chng,ce_oi,ce_volume,pe_chng_in_oi,pe_iv,pe_ltp,pe_net_chng,pe_oi,pe_volume,spot_price,strike_price,time
187950,27.17,4.60,-1.30,520800,25704,-,54.25,741.75,-1193.25,-,3,10109,10800,1312
12450,27.91,3.85,-1.15,25050,729,-,-,-,-,-,-,10109,10850,1312
43950,28.23,2.95,-1.00,232500,12725,-,-,-,-,150,-,10109,10900,1312
3975,29.63,2.90,-0.60,19500,429,-,-,-,-,-,-,10109,10950,1312
319725,29.76,2.15,-0.55,1049475,33165,150,62.20,937.00,87.00,225,6,10109,11000,1312
1275,30.17,1.70,-0.90,11775,82,-,-,-,-,-,-,10109,11050,1312
28800,31.38,1.65,-0.35,143400,4156,-,-,-,-,-,-,10109,11100,1312
4050,32.83,1.70,-,5175,175,-,-,-,-,-,-,10109,11150,1312
13275,32.52,1.15,-0.55,103275,1882,-,-,-,-,-,-,10109,11200,1312
375,34.12,1.25,-0.45,5625,26,-,-,-,-,-,-,10109,11250,1312
16425,34.25,0.90,-0.45,42300,460,-,-,-,-,-,-,10109,11300,1312
6225,35.24,0.90,-0.55,38100,185,-,-,-,-,-,-,10109,11350,1312
4050,35.71,0.75,-0.70,16275,338,-,-,-,-,-,-,10109,11400,1312
675,37.14,0.80,-0.55,4425,49,-,-,-,-,-,-,10109,11450,1312
60675,37.15,0.60,-0.50,250050,6391,-,-,-,-,-,-,10109,11500,1312
8625,38.28,0.60,-0.65,8625,1447,-,-,-,-,-,-,10109,11550,1312
