ce_chng_in_oi,ce_iv,ce_ltp,ce_net_chng,ce_oi,ce_volume,pe_chng_in_oi,pe_iv,pe_ltp,pe_net_chng,pe_oi,pe_volume,spot_price,strike_price,time
-,-,-,-,-,-,-,-,23.00,-0.45,18150,1,10113,7300,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,7350,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,7400,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,7450,0954
-,-,-,-,225,-,12975,-,27.00,-1.25,140175,368,10113,7500,0954
-,-,-,-,-,-,-,-,-,-,75,-,10113,7550,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,7600,0954
-,-,-,-,-,-,-,-,-,-,2175,-,10113,7650,0954
-,-,-,-,75,-,-,-,-,-,26550,-,10113,7700,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,7750,0954
-,-,-,-,-,-,-,-,-,-,375,-,10113,7800,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,7850,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,7900,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,7950,0954
-600,-,2116.75,61.75,3900,10,-1200,-,36.55,-2.60,224625,104,10113,8000,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,8050,0954
-,-,-,-,-,-,-,-,-,-,750,-,10113,8100,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,8150,0954
-,-,-,-,-,-,-75,-,40.15,-4.85,3900,13,10113,8200,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,8250,0954
-,-,-,-,600,-,-,-,45.00,-11.05,2325,2,10113,8300,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,8350,0954
-,-,-,-,-,-,-,-,41.25,-14.45,900,1,10113,8400,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,8450,0954
300,-,1640.00,75.95,10800,6,1875,-,53.90,-6.30,281100,202,10113,8500,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,8550,0954
-,-,-,-,-,-,-,-,-,-,2700,-,10113,8600,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,8650,0954
-,-,-,-,-,-,-75,-,70.30,-7.40,4575,6,10113,8700,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,8750,0954
-,-,-,-,-,-,-,-,82.00,-4.35,29325,27,10113,8800,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,8850,0954
-,-,-,-,150,-,-,-,90.00,-4.05,4425,1,10113,8900,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,8950,0954
-375,-,1185.00,73.85,108675,25,28275,-,100.10,-11.90,629100,1137,10113,9000,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,9050,0954
-,-,-,-,1350,-,75,-,105.25,-29.75,6600,5,10113,9100,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,9150,0954
-,-,-,-,3225,-,375,-,132.00,-14.95,8550,24,10113,9200,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,9250,0954
-,-,935.00,110.00,4275,1,1125,-,152.05,-14.95,298800,56,10113,9300,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,9350,0954
-,-,-,-,7500,-,150,-,173.85,-15.80,25800,24,10113,9400,0954
-,-,-,-,-,-,-,-,-,-,75,-,10113,9450,0954
-1050,-,768.20,49.35,214650,49,7200,-,192.80,-22.45,244725,525,10113,9500,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,9550,0954
75,-,701.00,86.00,8250,2,1125,-,223.45,-19.60,9150,31,10113,9600,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,9650,0954
-,-,640.00,131.00,6900,1,750,-,247.05,-29.25,17250,56,10113,9700,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,9750,0954
75,-,570.90,49.15,12450,6,11625,-,280.75,-33.60,221175,256,10113,9800,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,9850,0954
-,-,510.00,44.00,13575,8,-75,-,319.75,-34.85,56025,67,10113,9900,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,9950,0954
1800,-,446.50,46.10,472575,251,-75,-,356.00,-38.60,181725,441,10113,10000,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,10050,0954
225,-,392.80,39.10,14475,29,825,-,400.00,-41.85,8175,65,10113,10100,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,10150,0954
3300,-,341.50,37.10,17025,91,975,-,449.00,-42.40,6750,23,10113,10200,0954
75,-,420.95,-725.90,75,1,-,-,-,-,-,-,10113,10250,0954
975,-,291.30,28.80,7350,34,-,-,485.00,-65.00,225,1,10113,10300,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,10350,0954
-825,-,258.05,35.40,12375,47,-,-,-,-,150,-,10113,10400,0954
-,-,-,-,75,-,-,-,-,-,-,-,10113,10450,0954
2550,-,214.20,25.85,300675,546,900,-,624.00,-54.25,42375,49,10113,10500,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,10550,0954
75,-,173.20,18.20,2475,14,-,-,-,-,150,-,10113,10600,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,10650,0954
-75,-,151.30,30.60,1425,5,-,-,-,-,75,-,10113,10700,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,10750,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,10800,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,10850,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,10900,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,10950,0954
1275,-,81.75,9.45,309075,657,750,-,975.00,-73.80,35175,54,10113,11000,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,11050,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,11100,0954
-,-,-,-,825,-,-,-,-,-,-,-,10113,11150,0954
225,-,55.00,9.90,6675,21,-,-,-,-,75,-,10113,11200,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,11250,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,11300,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,11350,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,11400,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,11450,0954
1275,-,28.00,4.75,19425,84,225,-,1410.00,-86.70,1875,7,10113,11500,0954
-,-,-,-,-,-,-,-,-,-,-,-,10113,11550,0954
