ce_askprice,ce_askqty,ce_bidprice,ce_bidqty,ce_chng_in_oi,ce_iv,ce_ltp,ce_net_chng,ce_oi,ce_volume,pe_askprice,pe_askqty,pe_bidprice,pe_bidqty,pe_chng_in_oi,pe_iv,pe_ltp,pe_net_chng,pe_oi,pe_volume,spot_price,strike_price,time
265.35,225,262.00,75,1425,-,262.20,-165.75,34800,277,13.50,525,13.45,300,121650,-,13.45,-24.60,587550,16412,8482,8200,0925
257.20,675,255.25,75,7350,-,258.00,-169.95,40725,349,11.50,675,11.40,1050,211275,-,11.50,-26.55,677175,20957,8476,8200,0928
253.95,225,251.40,150,9675,-,250.50,-177.45,43050,412,10.95,450,10.80,375,239550,-,10.85,-27.20,705450,24593,8461,8200,0930
245.80,150,244.00,75,9675,-,246.45,-181.50,43050,532,11.00,6300,10.85,675,239550,-,10.90,-27.15,705450,26354,8469,8200,0934
226.90,225,225.05,150,10050,-,226.00,-201.95,43425,662,13.90,225,13.80,75,289425,-,13.80,-24.25,755325,34008,8444,8200,0937
225.95,75,223.85,150,10050,-,225.00,-202.95,43425,825,17.25,375,17.10,750,289425,-,17.15,-20.90,755325,39051,8435,8200,0940
216.95,75,214.90,150,9675,-,214.85,-213.10,43050,931,18.40,375,18.25,150,311025,-,18.40,-19.65,776925,43451,8424,8200,0942
218.80,75,216.30,150,12075,-,214.25,-213.70,45450,1064,18.00,525,17.85,225,315225,-,18.00,-20.05,781125,48342,8422,8200,0945
211.55,150,209.60,675,12075,-,213.05,-214.90,45450,1122,18.60,600,18.45,150,315225,-,18.50,-19.55,781125,51415,8407,8200,0948
197.30,75,195.30,150,13425,-,195.35,-232.60,46800,1316,20.60,75,20.45,675,354000,-,20.60,-17.45,819900,58237,8392,8200,0951
180.95,75,179.35,225,25575,-,178.25,-249.70,58950,1604,25.75,450,25.50,1425,357750,-,25.60,-12.45,823650,65338,8367,8200,0954
179.70,300,177.95,600,25575,-,179.00,-248.95,58950,1740,28.20,75,28.00,600,357750,-,28.15,-9.90,823650,70646,8365,8200,0957
208.30,150,206.55,75,32700,-,208.45,-219.50,66075,2200,18.10,300,17.95,225,392025,-,17.95,-20.10,857925,78451,8404,8200,1000
193.30,225,191.70,225,35400,-,192.00,-235.95,68775,2360,22.10,1650,21.90,450,416175,-,22.10,-15.95,882075,83007,8386,8200,1004
199.05,225,197.20,75,35400,-,200.00,-227.95,68775,2448,20.45,450,20.25,75,416175,-,20.40,-17.65,882075,84540,8401,8200,1007
189.05,150,187.20,450,34950,-,189.70,-238.25,68325,2804,20.50,825,20.35,300,437100,-,20.50,-17.55,903000,90105,8390,8200,1010
187.20,225,185.40,225,33900,-,185.45,-242.50,67275,2863,20.70,825,20.50,750,437100,-,20.80,-17.25,903000,91821,8385,8200,1013
176.05,150,174.60,75,37275,-,174.55,-253.40,70650,3217,21.90,1050,21.70,150,474750,-,22.00,-16.05,940650,96894,8375,8200,1016
182.50,75,180.40,150,38025,-,181.50,-246.45,71400,3260,19.25,525,19.05,525,498825,-,18.90,-19.15,964725,98604,8386,8200,1019
