ce_askprice,ce_askqty,ce_bidprice,ce_bidqty,ce_chng_in_oi,ce_iv,ce_ltp,ce_net_chng,ce_oi,ce_volume,pe_askprice,pe_askqty,pe_bidprice,pe_bidqty,pe_chng_in_oi,pe_iv,pe_ltp,pe_net_chng,pe_oi,pe_volume,spot_price,strike_price,time
1.55,1125,1.50,5175,362925,-,1.50,-13.30,1818900,21045,551.70,150,548.75,75,-375,-,550.05,122.45,205125,813,8482,9000,0925
1.45,3000,1.40,4650,697350,-,1.45,-13.35,2153325,25350,556.00,375,554.90,75,225,-,556.00,128.40,205725,929,8476,9000,0928
1.40,5775,1.35,2550,732675,-,1.35,-13.45,2188650,28384,560.50,75,557.25,150,-1200,-,560.00,132.40,204300,992,8461,9000,0930
1.45,3975,1.40,17400,732675,-,1.45,-13.35,2188650,29170,568.60,150,566.05,300,-1200,-,568.70,141.10,204300,1026,8469,9000,0934
1.10,12000,1.05,7575,841200,-,1.10,-13.70,2297175,34539,591.35,75,589.75,300,-13050,-,591.00,163.40,192450,1246,8444,9000,0937
1.00,1125,0.95,12375,841200,-,1.00,-13.80,2297175,36908,592.95,75,588.65,75,-13050,-,590.95,163.35,192450,1313,8435,9000,0940
0.95,1350,0.90,32025,904500,-,0.95,-13.85,2360475,39362,605.60,225,602.30,75,-13350,-,601.00,173.40,192150,1359,8424,9000,0942
0.80,52425,0.75,13875,910725,-,0.75,-14.05,2366700,42773,605.00,300,601.55,75,-14025,-,600.80,173.20,191475,1381,8422,9000,0945
0.80,11325,0.75,32400,910725,-,0.80,-14.00,2366700,44605,610.15,75,606.80,75,-14025,-,615.10,187.50,191475,1414,8407,9000,0948
0.75,20400,0.70,12750,874125,-,0.70,-14.10,2330100,47096,624.55,75,623.00,75,-15150,-,624.75,197.15,190350,1553,8392,9000,0951
0.75,31200,0.70,34200,859575,-,0.70,-14.10,2315550,49055,649.15,75,646.30,150,-20550,-,650.00,222.40,184950,1584,8367,9000,0954
0.75,24900,0.70,19050,859575,-,0.70,-14.10,2315550,49879,652.70,75,649.55,75,-20550,-,652.70,225.10,184950,1610,8365,9000,0957
0.70,4425,0.65,18525,888900,-,0.70,-14.10,2344875,52132,614.40,225,610.20,150,-20700,-,611.55,183.95,184800,1669,8404,9000,1000
0.65,15900,0.60,11850,907800,-,0.65,-14.15,2363775,53374,631.90,375,628.15,150,-20250,-,629.95,202.35,185250,1709,8386,9000,1004
0.65,24300,0.60,7050,907800,-,0.65,-14.15,2363775,53840,623.40,150,620.75,75,-20250,-,618.00,190.40,185250,1725,8401,9000,1007
0.60,53025,0.55,5550,882600,-,0.55,-14.25,2338575,56308,633.00,75,630.05,75,-20250,-,624.50,196.90,185250,1818,8390,9000,1010
0.55,37650,0.50,90375,882600,-,0.55,-14.25,2338575,57057,635.00,75,632.40,150,-20850,-,630.25,202.65,184650,1863,8385,9000,1013
0.50,25500,0.45,59400,896550,-,0.50,-14.30,2352525,59960,647.45,75,644.45,75,-23175,-,639.45,211.85,182325,1951,8375,9000,1016
0.55,22575,0.50,29850,887700,-,0.55,-14.25,2343675,60826,636.20,75,633.35,150,-23175,-,639.75,212.15,182325,1970,8386,9000,1019
0.50,53925,0.45,24750,887700,-,0.45,-14.35,2343675,62154,637.70,300,634.45,225,-24300,-,635.00,207.40,181200,1979,8385,9000,1022
0.45,61575,0.40,65325,906600,-,0.45,-14.35,2362575,63902,643.70,150,639.85,225,-24900,-,643.40,215.80,180600,1998,8381,9000,1025
0.45,68325,0.40,71400,936075,-,0.45,-14.35,2392050,65011,631.00,375,627.95,150,-25275,-,640.40,212.80,180225,2004,8392,9000,1028
0.45,79350,0.40,50025,936075,-,0.40,-14.40,2392050,65402,648.25,150,644.95,450,-25725,-,642.10,214.50,179775,2011,8373,9000,1031
0.45,36300,0.40,51000,990300,-,0.40,-14.40,2446275,67345,639.55,75,636.35,225,-27975,-,646.15,218.55,177525,2039,8382,9000,1033
0.45,8250,0.40,62550,997275,-,0.40,-14.40,2453250,67826,643.80,450,640.80,75,-27975,-,643.35,215.75,177525,2044,8382,9000,1036
0.45,41100,0.40,40500,988050,-,0.45,-14.35,2444025,68783,641.25,225,638.05,75,-27975,-,643.05,215.45,177525,2066,8384,9000,1039
0.45,57300,0.40,36750,999525,-,0.45,-14.35,2455500,69085,672.80,300,672.00,75,-27975,-,672.00,244.40,177525,2121,8352,9000,1042
0.45,70425,0.40,18450,997875,-,0.40,-14.40,2453850,69880,682.95,75,679.10,225,-29400,-,677.55,249.95,176100,2222,8343,9000,1045
0.40,57900,0.35,69525,998100,-,0.40,-14.40,2454075,70982,692.15,150,688.95,225,-28950,-,692.85,265.25,176550,2379,8329,9000,1048
0.40,32475,0.35,46425,956175,-,0.40,-14.40,2412150,73129,693.55,150,689.70,75,-30825,-,692.75,265.15,174675,2488,8337,9000,1051
0.40,8475,0.35,71850,956175,-,0.40,-14.40,2412150,74098,699.65,675,697.10,300,-30825,-,698.90,271.30,174675,2863,8311,9000,1054
0.40,36525,0.35,68100,938475,-,0.35,-14.45,2394450,74475,705.00,75,702.70,225,-32025,-,704.00,276.40,173475,2937,8315,9000,1057
0.40,12225,0.35,54600,935100,-,0.40,-14.40,2391075,75483,701.00,2625,698.25,150,-32550,-,701.00,273.40,172950,3023,8318,9000,1100
0.40,44700,0.35,35550,920250,-,0.35,-14.45,2376225,76300,715.60,75,712.20,225,-33000,-,712.00,284.40,172500,3102,8300,9000,1104
0.40,31800,0.35,75600,902775,-,0.40,-14.40,2358750,77289,722.95,525,720.25,375,-34425,-,725.00,297.40,171075,3133,8294,9000,1106
0.45,39525,0.40,11100,897975,-,0.45,-14.35,2353950,77938,714.95,750,711.00,225,-35175,-,714.90,287.30,170325,3154,8305,9000,1110
0.40,18450,0.35,75375,852000,-,0.35,-14.45,2307975,79164,729.15,75,725.20,75,-35850,-,718.00,290.40,169650,3167,8290,9000,1112
0.40,19725,0.35,97950,837450,-,0.40,-14.40,2293425,80373,740.95,75,737.25,225,-36675,-,744.00,316.40,168825,3197,8275,9000,1115
0.40,36975,0.35,106875,834900,-,0.40,-14.40,2290875,80592,737.85,75,734.10,150,-36975,-,730.95,303.35,168525,3208,8291,9000,1118
0.40,19500,0.35,99450,834900,-,0.40,-14.40,2290875,80755,738.65,225,735.15,75,-36975,-,728.00,300.40,168525,3212,8286,9000,1121
0.40,13950,0.35,101025,822675,-,0.40,-14.40,2278650,81163,728.40,75,724.85,225,-37200,-,736.00,308.40,168300,3229,8294,9000,1125
0.45,15750,0.40,54900,817875,-,0.40,-14.40,2273850,81862,716.75,75,712.80,225,-37350,-,719.00,291.40,168150,3250,8304,9000,1128
0.45,15375,0.40,58950,817875,-,0.40,-14.40,2273850,81895,707.80,300,704.85,375,-37950,-,706.10,278.50,167550,3262,8316,9000,1130
