ce_askprice,ce_askqty,ce_bidprice,ce_bidqty,ce_chng_in_oi,ce_iv,ce_ltp,ce_net_chng,ce_oi,ce_volume,pe_askprice,pe_askqty,pe_bidprice,pe_bidqty,pe_chng_in_oi,pe_iv,pe_ltp,pe_net_chng,pe_oi,pe_volume,spot_price,strike_price,time
366.70,150,362.50,150,-525,75.33,363.95,33.95,51300,165,74.75,75,74.25,675,-525,118.25,74.75,-106.05,203550,6168,8455,8100,0920
364.75,75,363.10,75,-525,78.44,359.35,29.35,51300,152,79.05,150,78.40,75,-525,121.29,78.40,-102.40,203550,5387,8439,8100,0921
358.00,300,355.00,6750,150,79.48,357.20,27.20,51975,303,71.40,150,70.75,225,62700,111.29,71.40,-109.40,266775,7523,8437,8100,0924
350.55,150,346.45,75,-3525,72.40,362.00,32.00,48300,767,69.10,225,68.80,75,84900,110.44,68.50,-112.30,288975,9381,8427,8100,0927
318.00,75,315.00,75,-3975,70.29,316.20,-13.80,47850,823,75.75,75,75.25,75,97575,106.60,75.25,-105.55,301650,11621,8371,8100,0930
325.45,75,323.20,75,-3975,84.94,324.40,-5.60,47850,864,72.95,150,72.50,75,97575,103.49,72.60,-108.20,301650,12814,8370,8100,0933
306.65,75,304.40,75,-5175,77.07,307.85,-22.15,46650,930,75.85,75,75.35,75,115125,104.09,75.45,-105.35,319200,14813,8362,8100,0936
321.40,75,319.75,75,-5325,71.57,318.15,-11.85,46500,973,69.25,75,68.80,75,138075,104.26,68.95,-111.85,342150,16397,8392,8100,0939
330.85,75,329.25,75,-5325,68.00,327.60,-2.40,46500,993,66.60,75,66.15,75,138075,103.72,66.15,-114.65,342150,17313,8402,8100,0942
345.80,75,341.80,150,-33300,62.75,344.15,14.15,18525,1047,58.20,525,57.70,300,111075,103.03,57.80,-123.00,315150,19108,8431,8100,0945
361.75,300,358.45,75,-29100,51.09,361.30,31.30,22725,1133,52.70,150,52.35,300,108525,101.85,52.90,-127.90,312600,20946,8448,8100,0948
362.00,75,358.75,75,-29100,58.04,363.00,33.00,22725,1160,54.35,75,54.15,150,108525,101.65,54.15,-126.65,312600,21544,8445,8100,0951
373.05,75,369.80,75,-28350,72.40,365.15,35.15,23475,1197,52.00,825,51.80,75,135975,102.62,51.95,-128.85,340050,23425,8450,8100,0954
377.10,75,373.85,225,-29400,71.27,371.30,41.30,22425,1213,51.95,150,51.75,75,135975,101.84,51.55,-129.25,340050,23996,8459,8100,0958
371.65,75,368.45,300,-30975,85.71,368.05,38.05,20850,1297,49.95,225,49.70,75,141000,98.46,49.90,-130.90,345075,26295,8442,8100,1001
347.95,225,344.85,75,-31050,77.40,351.15,21.15,20775,1309,55.80,75,55.35,150,147300,97.69,55.40,-125.40,351375,27539,8419,8100,1004
349.25,75,345.60,300,-32925,77.40,339.10,9.10,18900,1327,53.55,225,53.10,225,147300,97.69,53.20,-127.60,351375,28251,8423,8100,1007
358.40,150,354.20,75,-32775,77.40,352.50,22.50,19050,1337,49.95,150,49.75,150,160425,97.69,49.80,-131.00,364500,29412,8432,8100,1010
352.05,75,349.00,150,-32550,76.52,351.00,21.00,19275,1378,50.65,75,50.35,75,163350,97.14,50.45,-130.35,367425,30286,8427,8100,1012
351.40,300,348.30,75,-32025,76.52,347.15,17.15,19800,1414,50.95,150,50.65,300,170325,97.14,51.05,-129.75,374400,31180,8419,8100,1016
369.55,450,366.10,75,-32100,76.52,361.60,31.60,19725,1416,46.70,150,46.40,525,170325,97.14,46.40,-134.40,374400,31549,8444,8100,1019
372.60,75,369.00,225,-28050,73.62,369.05,39.05,23775,1574,45.20,75,44.95,150,172425,95.01,44.85,-135.95,376500,34238,8451,8100,1022
384.65,225,381.10,75,-28050,73.62,380.05,50.05,23775,1576,42.80,75,42.65,75,172425,95.01,42.65,-138.15,376500,34524,8457,8100,1025
413.35,75,410.05,75,-29025,73.62,405.95,75.95,22800,1637,40.00,525,39.75,150,175350,95.01,39.85,-140.95,379425,36295,8484,8100,1027
404.95,75,401.10,75,-29025,73.62,394.20,64.20,22800,1660,40.75,300,40.45,225,177450,95.01,40.60,-140.20,381525,38036,8474,8100,1031
426.95,75,423.35,75,-29925,73.75,420.00,90.00,21900,1679,38.60,75,38.40,300,182775,95.54,38.60,-142.20,386850,39214,8493,8100,1034
432.20,75,429.25,75,-30375,73.75,432.25,102.25,21450,1717,42.50,450,42.25,150,189150,95.54,42.45,-138.35,393225,41278,8490,8100,1037
437.10,150,433.20,75,-30825,73.75,438.45,108.45,21000,1747,42.75,225,42.60,75,189900,95.54,42.75,-138.05,393975,42814,8498,8100,1039
444.30,75,440.95,75,-29775,92.16,454.05,124.05,22050,1756,42.50,975,42.25,150,197250,99.21,42.25,-138.55,401325,43759,8501,8100,1042
438.15,75,434.25,450,-30000,92.16,427.70,97.70,21825,1758,39.95,75,39.75,225,210450,99.21,39.75,-141.05,414525,44714,8496,8100,1045
411.05,75,406.15,300,-30150,92.16,412.00,82.00,21675,1767,43.00,450,42.80,75,236850,99.21,42.75,-138.05,440925,45803,8472,8100,1048
403.30,525,397.90,150,-30150,87.14,395.00,65.00,21675,1771,41.25,150,41.00,675,244950,94.81,41.40,-139.40,449025,47041,8467,8100,1051
416.00,75,412.00,150,-30150,87.14,410.00,80.00,21675,1776,40.70,75,40.60,300,244575,94.81,40.40,-140.40,448650,47690,8478,8100,1054
398.50,75,393.80,525,-30150,87.14,410.00,80.00,21675,1776,41.85,150,41.60,525,264075,94.81,41.70,-139.10,468150,49227,8475,8100,1057
416.80,75,413.95,225,-30450,87.14,420.00,90.00,21375,1778,38.90,450,38.65,150,288675,94.81,38.80,-142.00,492750,49760,8480,8100,1100
402.80,225,398.40,150,-30450,89.94,400.45,70.45,21375,1779,40.35,75,40.25,150,291825,94.57,40.40,-140.40,495900,50729,8466,8100,1103
407.65,150,402.70,300,-30450,89.94,410.00,80.00,21375,1781,39.20,75,38.95,225,306000,94.57,39.25,-141.55,510075,51182,8467,8100,1106
401.05,150,396.70,150,-30450,89.94,410.00,80.00,21375,1781,40.00,225,39.80,75,309450,94.57,39.80,-141.00,513525,51534,8464,8100,1109
378.60,75,374.05,150,-30450,89.94,370.20,40.20,21375,1785,41.80,225,41.60,225,305250,94.57,42.00,-138.80,509325,53025,8450,8100,1112
