ce_askprice,ce_askqty,ce_bidprice,ce_bidqty,ce_chng_in_oi,ce_iv,ce_ltp,ce_net_chng,ce_oi,ce_volume,pe_askprice,pe_askqty,pe_bidprice,pe_bidqty,pe_chng_in_oi,pe_iv,pe_ltp,pe_net_chng,pe_oi,pe_volume,spot_price,strike_price,time
57.35,75,57.00,975,185100,-,57.00,-129.20,771300,24214,111.40,75,110.75,75,231750,-,110.75,12.00,1073550,26232,8482,8500,0925
52.85,150,52.45,75,476325,-,52.55,-133.65,1062525,33016,109.40,75,108.70,225,360750,-,109.10,10.35,1202550,33084,8476,8500,0928
48.85,75,48.50,300,651225,-,48.80,-137.40,1237425,42399,106.20,825,105.55,375,348300,-,105.65,6.90,1190100,38399,8461,8500,0930
43.45,2175,43.15,375,651225,-,43.45,-142.75,1237425,47332,111.55,75,110.90,150,348300,-,111.00,12.25,1190100,41425,8469,8500,0934
36.75,75,36.60,75,925050,-,36.60,-149.60,1511250,65760,127.75,75,127.30,825,295800,-,127.30,28.55,1137600,53299,8444,8500,0937
39.80,75,39.60,675,925050,-,40.00,-146.20,1511250,74113,132.65,75,132.00,75,295800,-,132.00,33.25,1137600,58691,8435,8500,0940
36.65,525,36.45,75,1023750,-,36.55,-149.65,1609950,86168,138.55,150,138.15,75,234900,-,137.30,38.55,1076700,65351,8424,8500,0942
36.10,3825,35.95,150,1066875,-,36.00,-150.20,1653075,93839,138.80,75,138.10,150,200625,-,138.45,39.70,1042425,69837,8422,8500,0945
34.20,150,34.00,750,1066875,-,34.25,-151.95,1653075,100118,140.00,600,139.35,75,200625,-,139.95,41.20,1042425,72717,8407,8500,0948
28.10,75,28.00,1950,1224000,-,28.00,-158.20,1810200,112027,152.00,450,151.65,75,155625,-,151.70,52.95,997425,78097,8392,8500,0951
