ce_askprice,ce_askqty,ce_bidprice,ce_bidqty,ce_chng_in_oi,ce_iv,ce_ltp,ce_net_chng,ce_oi,ce_volume,pe_askprice,pe_askqty,pe_bidprice,pe_bidqty,pe_chng_in_oi,pe_iv,pe_ltp,pe_net_chng,pe_oi,pe_volume,spot_price,strike_price,time
82.50,300,81.40,75,15825,-,82.90,-136.60,29325,1381,82.85,75,81.95,300,16800,-,82.95,-1.65,78450,2663,8482,8450,0925
74.95,150,73.85,375,48675,-,74.00,-145.50,62175,1927,80.95,75,80.15,75,39675,-,80.15,-4.45,101325,3466,8476,8450,0928
70.75,150,69.75,225,57975,-,70.45,-149.05,71475,2382,78.80,75,78.00,150,48450,-,78.25,-6.35,110100,4063,8461,8450,0930
65.45,150,64.60,450,57975,-,65.60,-153.90,71475,2543,82.00,75,81.50,75,48450,-,80.75,-3.85,110100,4565,8469,8450,0934
56.50,75,55.90,75,90075,-,55.95,-163.55,103575,3861,96.25,225,95.20,75,46575,-,96.50,11.90,108225,5998,8444,8450,0937
60.55,375,59.95,75,90075,-,59.70,-159.80,103575,4819,101.25,75,100.50,300,46575,-,100.60,16.00,108225,6922,8435,8450,0940
54.40,225,53.80,600,114825,-,53.60,-165.90,128325,5987,107.50,75,106.65,300,60225,-,107.25,22.65,121875,8225,8424,8450,0942
54.10,75,53.70,75,121950,-,53.85,-165.65,135450,6808,104.85,225,104.05,75,54075,-,104.30,19.70,115725,8941,8422,8450,0945
51.35,75,50.95,150,121950,-,50.95,-168.55,135450,7994,108.30,75,107.55,75,54075,-,107.70,23.10,115725,9430,8407,8450,0948
42.75,75,42.50,75,165450,-,42.60,-176.90,178950,10120,117.20,75,116.40,75,43125,-,117.10,32.50,104775,10221,8392,8450,0951
37.20,150,36.90,75,188250,-,37.15,-182.35,201750,12043,133.80,225,132.75,75,35775,-,132.75,48.15,97425,11094,8367,8450,0954
