ce_askprice,ce_askqty,ce_bidprice,ce_bidqty,ce_chng_in_oi,ce_iv,ce_ltp,ce_net_chng,ce_oi,ce_volume,pe_askprice,pe_askqty,pe_bidprice,pe_bidqty,pe_chng_in_oi,pe_iv,pe_ltp,pe_net_chng,pe_oi,pe_volume,spot_price,strike_price,time
111.45,150,110.50,300,17475,-,111.40,-144.90,151875,5188,61.85,300,61.35,75,163125,-,61.45,-8.45,902175,24348,8482,8400,0925
102.20,150,101.75,75,51450,-,100.45,-155.85,185850,6761,59.00,1575,58.50,825,297975,-,58.90,-11.00,1037025,31022,8476,8400,0928
98.40,75,97.60,150,89550,-,98.40,-157.90,223950,8531,55.60,450,55.25,225,356400,-,55.55,-14.35,1095450,36170,8461,8400,0930
90.55,75,90.00,900,89550,-,90.10,-166.20,223950,9500,58.70,300,58.40,75,356400,-,58.40,-11.50,1095450,39355,8469,8400,0934
79.65,150,79.15,150,196425,-,78.85,-177.45,330825,14091,70.25,450,69.85,3450,378225,-,70.10,0.20,1117275,53078,8444,8400,0937
83.80,1725,83.55,150,196425,-,83.80,-172.50,330825,17139,76.15,375,75.50,75,378225,-,75.45,5.55,1117275,61763,8435,8400,0940
77.25,75,76.35,75,264450,-,77.00,-179.30,398850,21349,80.00,975,79.70,75,338850,-,80.00,10.10,1077900,69625,8424,8400,0942
76.25,75,75.70,375,334200,-,75.90,-180.40,468600,25347,78.80,75,78.40,75,337275,-,78.70,8.80,1076325,76574,8422,8400,0945
73.50,75,73.05,75,334200,-,73.50,-182.80,468600,28992,80.00,375,79.50,450,337275,-,79.80,9.90,1076325,81397,8407,8400,0948
62.45,375,62.30,75,543150,-,62.45,-193.85,677550,36724,87.40,450,86.85,225,347775,-,87.00,17.10,1086825,89918,8392,8400,0951
55.80,150,55.35,600,596775,-,55.35,-200.95,731175,43152,101.00,75,100.50,300,326475,-,100.55,30.65,1065525,99608,8367,8400,0954
55.35,75,55.10,225,596775,-,55.35,-200.95,731175,48460,105.10,225,104.45,75,326475,-,104.50,34.60,1065525,104682,8365,8400,0957
71.10,75,70.65,150,706200,-,70.65,-185.65,840600,57702,79.45,75,79.05,75,349800,-,79.10,9.20,1088850,113893,8404,8400,1000
60.85,75,60.60,75,740550,-,60.15,-196.15,874950,63741,91.10,150,90.65,450,379500,-,91.05,21.15,1118550,120255,8386,8400,1004
64.00,75,63.65,150,740550,-,63.65,-192.65,874950,65558,86.10,75,85.70,150,379500,-,85.80,15.90,1118550,122393,8401,8400,1007
58.45,75,58.10,75,756825,-,58.05,-198.25,891225,72814,90.55,225,89.95,150,391950,-,90.20,20.30,1131000,130329,8390,8400,1010
58.10,150,57.80,75,756825,-,58.00,-198.30,891225,75152,92.15,75,91.90,75,391950,-,92.00,22.10,1131000,132517,8385,8400,1013
50.60,225,50.25,75,797925,-,50.60,-205.70,932325,84373,97.45,225,96.95,225,350400,-,97.50,27.60,1089450,139930,8375,8400,1016
55.95,75,55.60,375,846375,-,55.85,-200.45,980775,87064,90.75,450,90.25,150,367050,-,90.25,20.35,1106100,141928,8386,8400,1019
55.50,75,55.15,75,846375,-,55.40,-200.90,980775,90037,89.20,225,88.55,150,367050,-,89.00,19.10,1106100,144279,8385,8400,1022
53.15,300,52.80,225,849300,-,53.00,-203.30,983700,94326,94.15,75,93.70,75,394800,-,94.00,24.10,1133850,147486,8381,8400,1025
57.40,75,57.10,150,886650,-,57.65,-198.65,1021050,98618,89.45,450,88.90,225,411300,-,89.00,19.10,1150350,150389,8392,8400,1028
49.35,450,49.15,75,886650,-,49.20,-207.10,1021050,100907,95.95,300,95.45,75,411300,-,95.25,25.35,1150350,151894,8373,8400,1031
54.25,75,54.00,75,905775,-,54.20,-202.10,1040175,104971,88.35,150,88.00,150,396600,-,88.00,18.10,1135650,154222,8382,8400,1033
50.40,450,50.15,75,948750,-,50.20,-206.10,1083150,107663,92.80,150,92.40,75,413025,-,92.70,22.80,1152075,155762,8382,8400,1036
50.50,300,50.35,1275,1027725,-,50.50,-205.80,1162125,114540,90.55,225,90.10,75,427875,-,89.95,20.05,1166925,160453,8384,8400,1039
37.75,75,37.30,300,1051125,-,37.60,-218.70,1185525,121098,109.00,750,108.30,75,420225,-,108.15,38.25,1159275,165464,8352,8400,1042
33.70,225,33.50,150,1066650,-,33.60,-222.70,1201050,131372,113.65,75,113.10,300,293325,-,113.70,43.80,1032375,173200,8343,8400,1045
29.25,675,29.10,150,1148925,-,29.15,-227.15,1283325,142236,121.50,1050,121.10,150,246225,-,121.50,51.60,985275,181178,8329,8400,1048
29.65,300,29.40,600,1250775,-,29.65,-226.65,1385175,148939,121.85,75,121.30,225,191400,-,121.45,51.55,930450,185498,8337,8400,1051
26.65,225,26.45,750,1250775,-,26.45,-229.85,1385175,156245,125.75,75,124.95,75,191400,-,125.50,55.60,930450,190490,8311,8400,1054
25.80,75,25.65,675,1285125,-,25.55,-230.75,1419525,160966,129.90,75,129.25,150,148500,-,129.55,59.65,887550,193103,8315,8400,1057
27.00,375,26.85,75,1336650,-,26.95,-229.35,1471050,165332,126.70,225,126.00,150,131775,-,127.55,57.65,870825,194942,8318,8400,1100
23.95,375,23.80,825,1358250,-,24.00,-232.30,1492650,173732,135.70,225,134.90,75,97575,-,135.20,65.30,836625,199200,8300,8400,1104
20.80,75,20.70,900,1385925,-,20.75,-235.55,1520325,185197,143.55,525,143.00,150,39675,-,143.35,73.45,778725,203767,8294,8400,1106
22.70,450,22.55,150,1454100,-,22.60,-233.70,1588500,189940,135.35,150,134.75,75,16050,-,134.95,65.05,755100,206283,8305,8400,1110
18.75,600,18.60,150,1496250,-,18.70,-237.60,1630650,196898,146.00,825,145.20,75,10650,-,145.30,75.40,749700,208729,8290,8400,1112
15.85,1050,15.65,1125,1624575,-,15.70,-240.60,1758975,210833,155.75,150,155.05,225,-24525,-,155.05,85.15,714525,214103,8275,8400,1115
15.80,225,15.70,300,1658175,-,15.70,-240.60,1792575,215611,150.95,75,150.35,75,-32175,-,150.40,80.50,706875,215866,8291,8400,1118
15.65,225,15.50,1350,1658175,-,15.65,-240.65,1792575,218344,152.65,75,152.05,75,-32175,-,152.40,82.50,706875,217039,8286,8400,1121
16.80,2475,16.70,225,1703700,-,16.80,-239.50,1838100,224856,144.65,75,144.10,75,-37800,-,144.55,74.65,701250,219754,8294,8400,1125
19.15,750,19.00,675,1701600,-,19.15,-237.15,1836000,233490,135.50,75,134.50,75,-30000,-,135.75,65.85,709050,222893,8304,8400,1128
20.95,150,20.85,75,1701600,-,20.90,-235.40,1836000,236791,127.60,2325,126.95,225,-30000,-,126.95,57.05,709050,224160,8316,8400,1130
19.20,75,19.10,75,1702725,-,19.20,-237.10,1837125,244149,134.60,75,133.95,75,-50325,-,134.50,64.60,688725,226857,8305,8400,1134
18.70,975,18.55,150,1702725,-,18.60,-237.70,1837125,244799,139.10,75,138.25,75,-50325,-,139.55,69.65,688725,227366,8301,8400,1137
16.40,1575,16.25,375,1698375,-,16.30,-240.00,1832775,252997,146.00,900,145.55,75,-67650,-,145.55,75.65,671400,230637,8293,8400,1141
18.60,1275,18.40,825,1712925,-,18.50,-237.80,1847325,255283,135.55,75,135.00,3150,-76950,-,135.75,65.85,662100,231433,8304,8400,1143
17.45,300,17.30,825,1758000,-,17.40,-238.90,1892400,259432,139.15,75,138.50,75,-82800,-,138.75,68.85,656250,233022,8302,8400,1146
17.50,1425,17.40,1500,1758000,-,17.55,-238.75,1892400,261443,140.90,75,140.10,75,-82800,-,140.90,71.00,656250,233696,8300,8400,1149
15.50,300,15.40,75,1785750,-,15.40,-240.90,1920150,270345,147.90,75,147.00,75,-88725,-,147.65,77.75,650325,235641,8289,8400,1153
