ce_askprice,ce_askqty,ce_bidprice,ce_bidqty,ce_chng_in_oi,ce_iv,ce_ltp,ce_net_chng,ce_oi,ce_volume,pe_askprice,pe_askqty,pe_bidprice,pe_bidqty,pe_chng_in_oi,pe_iv,pe_ltp,pe_net_chng,pe_oi,pe_volume,spot_price,strike_price,time
193.05,75,192.50,150,329250,48.94,192.65,-82.90,442125,26226,275.90,75,274.70,75,242175,63.04,275.00,24.80,480975,21450,8160,8200,1002
179.75,75,179.05,75,338175,48.66,179.95,-95.60,451050,27743,288.60,75,288.00,525,236325,63.51,288.00,37.80,475125,22620,8141,8200,1005
184.70,75,184.05,75,346275,48.66,184.85,-90.70,459150,28589,283.70,150,282.05,225,230625,63.51,282.35,32.15,469425,23316,8152,8200,1007
179.45,75,178.75,75,354375,48.66,179.20,-96.35,467250,29168,289.65,150,288.05,75,230550,63.51,289.20,39.00,469350,23616,8143,8200,1010
186.30,75,185.45,75,361725,47.62,186.00,-89.55,474600,30593,281.50,75,280.30,75,238200,63.71,281.00,30.80,477000,24375,8157,8200,1013
193.50,300,193.05,150,361725,47.62,193.05,-82.50,474600,31854,271.20,75,270.00,300,238200,63.71,270.05,19.85,477000,24962,8167,8200,1016
191.00,1275,190.55,75,394275,47.62,191.00,-84.55,507150,35128,274.20,300,272.85,75,245475,63.71,273.35,23.15,484275,26302,8165,8200,1020
191.00,1275,190.55,75,394275,47.62,191.00,-84.55,507150,35128,274.20,300,272.85,75,245475,63.71,273.35,23.15,484275,26302,8165,8200,1022
180.70,75,180.15,300,415575,48.15,180.15,-95.40,528450,37079,283.10,150,281.75,75,254925,62.84,282.30,32.10,493725,27373,8151,8200,1025
183.45,75,182.70,300,415575,48.15,183.00,-92.55,528450,37914,280.60,150,280.00,375,254925,62.84,280.00,29.80,493725,27648,8157,8200,1028
182.80,150,182.00,150,443175,46.69,182.00,-93.55,556050,38600,279.00,150,277.65,75,256800,63.26,277.00,26.80,495600,28035,8161,8200,1031
181.00,150,180.60,225,443175,46.69,180.60,-94.95,556050,39117,280.65,75,279.40,75,256800,63.26,280.10,29.90,495600,28291,8151,8200,1034
177.85,75,177.15,525,448500,46.69,177.00,-98.55,561375,39611,284.00,75,283.10,75,260850,63.26,284.00,33.80,499650,28678,8146,8200,1037
173.15,75,172.60,150,448050,46.69,172.60,-102.95,560925,40677,287.00,75,285.70,150,261525,63.26,287.05,36.85,500325,29205,8134,8200,1040
176.45,300,175.60,150,446850,47.36,176.25,-99.30,559725,42082,287.20,75,286.00,975,259050,62.45,286.00,35.80,497850,30009,8136,8200,1043
