ce_askprice,ce_askqty,ce_bidprice,ce_bidqty,ce_chng_in_oi,ce_iv,ce_ltp,ce_net_chng,ce_oi,ce_volume,pe_askprice,pe_askqty,pe_bidprice,pe_bidqty,pe_chng_in_oi,pe_iv,pe_ltp,pe_net_chng,pe_oi,pe_volume,spot_price,strike_price,time
89.35,225,88.60,375,61650,117.04,88.65,-88.20,832650,4857,680.00,75,677.35,75,-15675,106.36,677.60,103.05,310350,686,8402,9000,0919
83.00,450,82.55,150,61650,115.56,83.15,-93.70,832650,8277,688.30,300,682.55,75,-15675,110.25,688.30,113.75,310350,1303,8388,9000,0921
88.55,300,88.05,150,148500,110.84,88.05,-88.80,919500,15244,657.00,75,653.95,75,-59700,113.97,655.00,80.45,266325,1780,8442,9000,0924
86.00,75,85.60,75,148500,-,85.60,-91.25,919500,16789,668.80,225,663.05,75,-59700,-,662.35,87.80,266325,1831,8430,9000,0927
79.75,75,79.10,300,252150,111.71,79.15,-97.70,1023150,22812,691.00,150,685.00,75,-67725,112.51,687.00,112.45,258300,2009,8390,9000,0930
84.45,300,83.75,750,252150,111.61,83.95,-92.90,1023150,24708,664.65,75,658.65,225,-67725,112.18,660.00,85.45,258300,2093,8421,9000,0933
93.20,450,92.65,75,284400,108.76,92.90,-83.95,1055400,29619,618.20,75,613.30,75,-70125,110.68,619.45,44.90,255900,2268,8463,9000,0936
100.00,150,99.55,75,275025,110.15,99.90,-76.95,1046025,34395,614.35,600,612.75,75,-75675,112.41,614.35,39.80,250350,2625,8476,9000,0939
119.35,75,118.60,225,263775,112.80,119.20,-57.65,1034775,39997,601.65,150,600.00,3300,-77925,113.20,600.00,25.45,248100,2758,8524,9000,0943
113.00,225,112.30,225,263775,113.27,112.50,-64.35,1034775,42771,607.40,75,603.25,75,-77925,122.22,602.05,27.50,248100,2880,8516,9000,0945
117.25,75,116.65,75,245700,113.55,116.20,-60.65,1016700,47950,601.95,75,598.20,75,-73875,119.14,594.90,20.35,252150,3069,8525,9000,0948
110.65,150,110.10,150,242850,113.59,110.55,-66.30,1013850,49814,612.10,150,607.15,75,-75825,116.02,605.25,30.70,250200,3135,8502,9000,0951
114.60,75,114.35,375,226950,117.05,114.15,-62.70,997950,54008,618.00,75,613.20,150,-77850,117.84,619.10,44.55,248175,3177,8491,9000,0954
120.20,75,120.00,1425,238875,117.20,120.35,-56.50,1009875,56790,609.65,225,604.55,75,-78450,115.71,594.90,20.35,247575,3300,8512,9000,0957
131.50,225,130.70,75,225450,117.54,131.10,-45.75,996450,61330,598.70,300,591.25,150,-75900,117.27,590.50,15.95,250125,3479,8531,9000,1000
126.15,225,125.65,75,242925,119.53,126.00,-50.85,1013925,65164,597.70,300,592.65,75,-68625,119.57,596.00,21.45,257400,3558,8522,9000,1004
129.80,225,129.15,150,266475,119.53,130.00,-46.85,1037475,68355,592.35,75,588.25,75,-69150,119.57,590.75,16.20,256875,3617,8530,9000,1007
115.70,75,115.05,75,266475,119.53,115.05,-61.80,1037475,72085,609.35,75,606.15,75,-71025,119.57,606.15,31.60,255000,3684,8500,9000,1010
111.20,150,110.60,150,256275,113.98,111.20,-65.65,1027275,75285,609.25,75,605.70,150,-71925,112.56,605.25,30.70,254100,3746,8491,9000,1012
102.10,75,101.70,75,260400,113.98,102.15,-74.70,1031400,77128,626.30,75,621.20,75,-75900,112.56,630.20,55.65,250125,3825,8472,9000,1016
101.25,75,101.00,225,289050,113.98,101.00,-75.85,1060050,81376,633.00,75,630.75,75,-78600,112.56,630.00,55.45,247425,4014,8468,9000,1019
105.60,75,105.10,75,330000,114.86,105.75,-71.10,1101000,84494,612.45,4425,609.10,75,-77475,116.44,612.45,37.90,248550,4071,8490,9000,1022
113.90,300,113.40,75,330000,114.86,113.25,-63.60,1101000,85927,593.40,75,590.00,150,-77475,116.44,592.45,17.90,248550,4161,8510,9000,1025
