ce_askprice,ce_askqty,ce_bidprice,ce_bidqty,ce_chng_in_oi,ce_iv,ce_ltp,ce_net_chng,ce_oi,ce_volume,pe_askprice,pe_askqty,pe_bidprice,pe_bidqty,pe_chng_in_oi,pe_iv,pe_ltp,pe_net_chng,pe_oi,pe_volume,spot_price,strike_price,time
57.35,75,57.00,975,185100,-,57.00,-129.20,771300,24214,111.40,75,110.75,75,231750,-,110.75,12.00,1073550,26232,8482,8500,0925
52.85,150,52.45,75,476325,-,52.55,-133.65,1062525,33016,109.40,75,108.70,225,360750,-,109.10,10.35,1202550,33084,8476,8500,0928
48.85,75,48.50,300,651225,-,48.80,-137.40,1237425,42399,106.20,825,105.55,375,348300,-,105.65,6.90,1190100,38399,8461,8500,0930
