ce_askprice,ce_askqty,ce_bidprice,ce_bidqty,ce_chng_in_oi,ce_iv,ce_ltp,ce_net_chng,ce_oi,ce_volume,pe_askprice,pe_askqty,pe_bidprice,pe_bidqty,pe_chng_in_oi,pe_iv,pe_ltp,pe_net_chng,pe_oi,pe_volume,spot_price,strike_price,time
175.95,150,175.00,300,5550,86.89,176.05,11.70,288825,3693,185.95,600,184.60,75,37575,119.07,185.40,-129.05,304875,5505,8455,8400,0920
176.65,75,175.15,75,5550,84.42,176.45,12.10,288825,3093,189.40,300,188.15,75,37575,121.94,189.20,-125.25,304875,4707,8439,8400,0921
167.95,75,166.70,75,26325,90.65,167.20,2.85,309600,4844,181.40,75,180.40,150,89475,110.50,181.60,-132.85,356775,6925,8437,8400,0924
160.45,75,160.00,525,41400,83.89,160.00,-4.35,324675,6460,179.00,150,177.90,75,118575,109.87,179.00,-135.45,385875,8895,8427,8400,0927
135.70,75,134.85,75,91350,81.54,135.75,-28.60,374625,9802,194.15,75,192.65,75,158175,106.81,193.00,-121.45,425475,11776,8371,8400,0930
140.20,75,139.45,150,91350,85.75,139.80,-24.55,374625,11047,189.60,75,188.30,225,158175,100.45,189.55,-124.90,425475,12732,8370,8400,0933
129.45,75,128.45,75,120975,83.64,129.45,-34.90,404250,14244,197.75,75,196.70,75,170625,103.48,196.85,-117.60,437925,14851,8362,8400,0936
137.25,75,136.40,300,171675,79.57,137.00,-27.35,454950,16748,185.55,75,184.30,75,174225,104.09,185.20,-129.25,441525,16642,8392,8400,0939
141.25,150,140.50,150,171675,79.03,140.95,-23.40,454950,18267,179.30,75,178.35,225,174225,104.22,179.90,-134.55,441525,17648,8402,8400,0942
153.50,150,153.05,150,165000,77.05,153.00,-11.35,448275,20747,166.05,225,164.90,150,190725,103.15,164.55,-149.90,458025,19682,8431,8400,0945
162.10,75,161.20,150,156600,75.36,162.10,-2.25,439875,23364,153.35,225,152.55,75,208725,102.09,153.15,-161.30,476025,21954,8448,8400,0948
161.15,75,160.00,1275,156600,76.18,160.70,-3.65,439875,24039,154.65,375,153.85,75,208725,100.85,153.70,-160.75,476025,22577,8445,8400,0951
171.00,825,170.50,225,147000,79.93,171.00,6.65,430275,26560,152.05,150,151.25,75,273375,101.68,152.00,-162.45,540675,25657,8450,8400,0954
175.00,450,174.35,75,147000,80.52,175.00,10.65,430275,27595,150.35,225,149.55,225,273375,101.49,149.85,-164.60,540675,26856,8459,8400,0958
171.80,75,170.70,75,133200,83.46,171.75,7.40,416475,30526,150.05,75,150.00,1650,327900,97.95,150.05,-164.40,595200,31035,8442,8400,1001
