ce_askprice,ce_askqty,ce_bidprice,ce_bidqty,ce_chng_in_oi,ce_iv,ce_ltp,ce_net_chng,ce_oi,ce_volume,pe_askprice,pe_askqty,pe_bidprice,pe_bidqty,pe_chng_in_oi,pe_iv,pe_ltp,pe_net_chng,pe_oi,pe_volume,spot_price,strike_price,time
9.15,75,9.05,1200,371925,44.57,9.15,-15.85,1243350,25977,892.10,450,890.00,75,3900,70.90,906.00,109.50,62250,379,8160,9000,1002
8.65,1200,8.55,75,381600,44.13,8.65,-16.35,1253025,27214,917.45,75,911.70,525,3525,72.99,911.95,115.45,61875,397,8141,9000,1005
9.25,3150,9.10,1875,390975,44.13,9.20,-15.80,1262400,28129,907.60,75,901.50,75,3525,72.99,919.70,123.20,61875,411,8152,9000,1007
8.80,225,8.70,900,397425,44.13,8.75,-16.25,1268850,28528,916.00,225,914.20,75,3975,72.99,907.25,110.75,62325,412,8143,9000,1010
9.00,2925,8.90,375,400425,45.09,8.95,-16.05,1271850,29645,905.40,75,898.40,75,3975,78.01,911.00,114.50,62325,421,8157,9000,1013
9.40,150,9.35,375,400425,45.09,9.25,-15.75,1271850,30301,888.60,150,883.35,75,3975,78.01,887.00,90.50,62325,423,8167,9000,1016
9.10,4800,9.05,75,416775,45.09,9.00,-16.00,1288200,31488,893.45,150,888.25,75,3825,78.01,877.00,80.50,62175,428,8165,9000,1020
9.10,4800,9.05,75,416775,45.09,9.00,-16.00,1288200,31488,893.45,150,888.25,75,3825,78.01,877.00,80.50,62175,428,8165,9000,1022
8.90,75,8.85,450,431850,44.07,8.85,-16.15,1303275,32780,912.15,150,908.85,75,3975,70.38,900.00,103.50,62325,433,8151,9000,1025
8.90,450,8.80,600,431850,44.07,8.75,-16.25,1303275,32978,907.35,75,901.45,75,3975,70.38,902.65,106.15,62325,441,8157,9000,1028
8.85,1575,8.75,1650,451425,44.01,8.75,-16.25,1322850,33521,906.35,150,899.75,225,3900,78.39,901.00,104.50,62250,445,8161,9000,1031
8.75,600,8.65,2400,451425,44.01,8.65,-16.35,1322850,34429,908.60,75,902.95,450,3900,78.39,905.10,108.60,62250,447,8151,9000,1034
8.60,2475,8.55,450,474000,44.01,8.55,-16.45,1345425,35008,915.10,75,908.85,75,3675,78.39,906.05,109.55,62025,448,8146,9000,1037
8.50,1275,8.40,1350,482925,44.01,8.50,-16.50,1354350,35995,923.20,75,918.20,150,3675,78.39,924.00,127.50,62025,449,8134,9000,1040
8.60,2400,8.50,300,480900,44.94,8.50,-16.50,1352325,37564,921.80,150,915.35,225,3675,77.17,924.00,127.50,62025,451,8136,9000,1043
8.55,2475,8.40,1800,455775,44.94,8.50,-16.50,1327200,38019,912.50,75,906.45,75,3675,77.17,924.00,127.50,62025,451,8144,9000,1046
7.95,300,7.85,2100,454050,44.94,7.85,-17.15,1325475,39221,944.25,75,936.45,300,3675,77.17,938.00,141.50,62025,463,8111,9000,1049
7.85,2025,7.80,225,496650,45.01,7.80,-17.20,1368075,40093,945.40,150,940.45,75,2925,78.47,942.00,145.50,61275,494,8109,9000,1052
8.10,825,8.00,3075,484050,45.01,8.00,-17.00,1355475,40801,935.95,450,931.60,150,2925,78.47,935.85,139.35,61275,495,8118,9000,1055
8.00,1350,7.95,600,495150,45.01,8.00,-17.00,1366575,41584,940.10,450,935.35,150,2700,78.47,936.00,139.50,61050,496,8113,9000,1058
7.55,1200,7.50,11175,496800,45.48,7.50,-17.50,1368225,41878,955.30,75,950.20,150,2625,73.97,950.35,153.85,60975,500,8100,9000,1102
7.90,3375,7.80,1800,511800,45.48,7.90,-17.10,1383225,42588,948.70,75,947.00,75,3000,73.97,945.45,148.95,61350,508,8104,9000,1104
8.15,2850,8.05,375,510675,45.48,8.10,-16.90,1382100,43764,927.90,450,922.65,150,3075,73.97,927.00,130.50,61425,512,8128,9000,1107
8.15,2400,8.05,375,503550,45.48,8.10,-16.90,1374975,44059,932.50,450,926.25,75,3075,73.97,927.00,130.50,61425,512,8123,9000,1110
8.10,2175,8.00,750,503550,45.13,8.10,-16.90,1374975,44363,934.70,450,928.45,450,2475,76.62,928.95,132.45,60825,513,8116,9000,1113
8.50,525,8.45,75,501300,45.13,8.50,-16.50,1372725,45333,918.75,75,912.75,75,2475,76.62,913.00,116.50,60825,516,8128,9000,1116
8.55,675,8.45,750,510300,45.13,8.50,-16.50,1381725,46112,908.15,600,901.65,75,2475,76.62,899.00,102.50,60825,521,8139,9000,1119
8.70,6000,8.55,2025,523350,45.13,8.70,-16.30,1394775,47067,886.00,75,880.10,375,2475,76.62,878.05,81.55,60825,527,8157,9000,1122
7.90,2025,7.80,2550,523350,45.13,7.85,-17.15,1394775,47627,908.45,75,901.80,75,2475,76.62,878.05,81.55,60825,527,8142,9000,1125
8.10,825,8.05,900,542250,45.13,8.10,-16.90,1413675,48183,897.50,150,893.00,75,2700,76.62,890.55,94.05,61050,536,8146,9000,1128
7.75,1200,7.65,2700,561300,45.13,7.65,-17.35,1432725,48866,907.95,450,905.00,225,2625,76.62,910.45,113.95,60975,544,8142,9000,1131
7.40,1425,7.35,150,573375,45.13,7.40,-17.60,1444800,49443,913.95,150,910.05,150,2400,76.62,910.15,113.65,60750,548,8126,9000,1134
7.65,375,7.60,600,557400,45.13,7.60,-17.40,1428825,50375,907.35,75,902.40,75,2325,76.62,904.85,108.35,60675,549,8140,9000,1137
7.25,900,7.20,1050,553125,45.13,7.20,-17.80,1424550,51337,921.60,75,917.35,150,2175,76.62,919.20,122.70,60525,553,8128,9000,1140
7.40,2700,7.30,1200,564150,45.13,7.35,-17.65,1435575,51927,904.85,375,898.55,75,2175,76.62,919.20,122.70,60525,553,8146,9000,1143
7.10,900,7.00,11400,572325,45.13,7.05,-17.95,1443750,52572,919.40,75,913.60,75,2175,76.62,919.20,122.70,60525,553,8131,9000,1146
7.15,1200,7.10,1500,565875,45.13,7.15,-17.85,1437300,53036,929.00,300,925.45,225,2175,76.62,919.20,122.70,60525,553,8124,9000,1149
6.95,1425,6.90,75,571950,45.13,7.00,-18.00,1443375,53755,930.40,75,926.65,75,2175,76.62,929.00,132.50,60525,560,8118,9000,1153
7.05,3375,6.95,825,564075,45.13,6.95,-18.05,1435500,54211,932.50,375,926.75,225,2175,76.62,928.00,131.50,60525,562,8119,9000,1155
7.10,525,7.00,2475,564075,45.13,7.00,-18.00,1435500,54371,924.50,150,918.80,75,2175,76.62,928.00,131.50,60525,562,8124,9000,1158
7.35,1275,7.25,2025,571050,45.13,7.25,-17.75,1442475,55037,909.85,75,904.25,75,2025,76.62,916.40,119.90,60375,563,8131,9000,1202
7.40,450,7.35,600,581250,45.13,7.40,-17.60,1452675,55375,909.55,150,903.70,75,2025,76.62,904.00,107.50,60375,565,8136,9000,1204
7.85,1425,7.75,150,573150,45.13,7.80,-17.20,1444575,56143,890.35,375,884.05,150,2175,76.62,890.00,93.50,60525,575,8152,9000,1208
7.80,1200,7.70,1650,573150,45.13,7.75,-17.25,1444575,56362,898.35,150,892.50,75,2175,76.62,890.00,93.50,60525,575,8144,9000,1210
7.55,2775,7.45,975,571800,45.13,7.55,-17.45,1443225,57147,906.45,75,902.20,150,2250,76.62,916.60,120.10,60600,580,8140,9000,1213
7.30,1500,7.25,75,588375,45.13,7.20,-17.80,1459800,57636,912.40,75,906.95,150,2025,76.62,902.45,105.95,60375,582,8129,9000,1216
7.80,450,7.75,525,586725,45.13,7.80,-17.20,1458150,57959,890.95,75,886.85,75,2025,76.62,902.45,105.95,60375,582,8146,9000,1219
7.75,525,7.65,1875,603750,45.13,7.70,-17.30,1475175,59060,895.85,75,889.60,75,2025,76.62,902.45,105.95,60375,582,8151,9000,1222
