ce_askprice,ce_askqty,ce_bidprice,ce_bidqty,ce_chng_in_oi,ce_iv,ce_ltp,ce_net_chng,ce_oi,ce_volume,pe_askprice,pe_askqty,pe_bidprice,pe_bidqty,pe_chng_in_oi,pe_iv,pe_ltp,pe_net_chng,pe_oi,pe_volume,spot_price,strike_price,time
1415.35,150,1391.75,1425,-150,-,1378.00,106.15,12450,3,4.50,2700,4.45,75,1800,170.54,4.50,-11.30,1092450,4101,8455,7000,0920
1417.50,2475,1378.50,150,-150,-,1378.00,106.15,12450,3,4.50,1275,4.45,75,1800,168.97,4.45,-11.35,1092450,3690,8439,7000,0921
1399.50,450,1383.95,225,-150,-,1382.50,110.65,12450,6,4.65,150,4.55,4200,3450,170.44,4.55,-11.25,1094100,5028,8437,7000,0924
1417.05,225,1380.10,150,-225,-,1402.70,130.85,12375,7,4.25,1950,4.15,150,15375,169.67,4.25,-11.55,1106025,5847,8427,7000,0927
1373.55,1050,1341.00,375,-150,-,1376.00,104.15,12450,23,4.10,2625,4.00,1425,20175,163.22,4.00,-11.80,1110825,7025,8371,7000,0930
1359.20,150,1350.45,300,-975,179.32,1350.10,78.25,11625,24,4.10,3375,4.00,1050,20175,161.56,4.00,-11.80,1110825,7297,8370,7000,0933
1356.25,75,1329.35,225,-1350,-,1340.00,68.15,11250,38,3.80,450,3.70,825,26625,160.59,3.80,-12.00,1117275,8028,8362,7000,0936
1359.65,150,1352.50,225,-1950,-,1355.00,83.15,10650,46,3.55,675,3.45,4425,7200,158.89,3.55,-12.25,1097850,8665,8392,7000,0939
1373.00,300,1362.65,75,-2550,-,1352.00,80.15,10050,53,3.65,600,3.60,1050,7200,161.86,3.65,-12.15,1097850,8934,8402,7000,0942
1385.00,150,1375.00,75,-3525,-,1387.35,115.50,9075,65,3.40,2475,3.35,900,-4425,162.26,3.35,-12.45,1086225,9382,8431,7000,0945
1419.55,450,1401.15,1200,-3525,-,1410.00,138.15,9075,71,2.90,2850,2.80,1725,-50250,161.45,2.80,-13.00,1040400,10540,8448,7000,0948
1434.35,75,1405.05,450,-3525,-,1410.00,138.15,9075,71,2.85,600,2.80,750,-50250,160.94,2.80,-13.00,1040400,10687,8445,7000,0951
1445.80,75,1412.05,75,-3750,-,1415.00,143.15,8850,78,3.00,1200,2.95,300,-60600,161.88,2.95,-12.85,1030050,11045,8450,7000,0954
1443.55,75,1415.65,975,-3750,-,1415.00,143.15,8850,78,2.95,525,2.90,1575,-60600,162.26,2.95,-12.85,1030050,11152,8459,7000,0958
1425.00,525,1414.05,75,-3750,-,1415.00,143.15,8850,78,2.90,75,2.85,2250,-64500,159.95,2.85,-12.95,1026150,11498,8442,7000,1001
1420.00,75,1388.00,675,-4050,-,1425.00,153.15,8550,85,3.15,975,3.10,75,-63600,160.78,3.05,-12.75,1027050,11955,8419,7000,1004
1406.40,600,1388.45,450,-4050,-,1425.00,153.15,8550,85,3.05,1050,3.00,375,-70500,160.78,3.05,-12.75,1020150,12035,8423,7000,1007
1427.40,75,1400.70,225,-4050,-,1425.00,153.15,8550,85,2.95,375,2.90,3900,-72375,160.78,2.95,-12.85,1018275,12195,8432,7000,1010
1422.75,75,1398.85,525,-4050,-,1425.00,153.15,8550,85,2.95,1275,2.90,2775,-73050,160.43,2.90,-12.90,1017600,12428,8427,7000,1012
1415.25,375,1394.70,975,-4050,-,1390.00,118.15,8550,89,3.10,7125,3.00,1500,-73050,160.43,3.10,-12.70,1017600,12703,8419,7000,1016
1443.00,2175,1417.15,300,-4050,-,1390.00,118.15,8550,89,3.10,6000,3.05,3900,-74625,160.43,3.05,-12.75,1016025,12749,8444,7000,1019
1455.70,75,1423.50,150,-4650,-,1445.00,173.15,7950,97,3.20,1725,3.15,225,-83550,163.05,3.20,-12.60,1007100,13139,8451,7000,1022
1454.60,75,1431.90,825,-4650,-,1445.00,173.15,7950,97,3.20,2925,3.10,2550,-83550,163.05,3.20,-12.60,1007100,13180,8457,7000,1025
1489.65,1725,1463.15,75,-4950,-,1475.00,203.15,7650,102,3.10,225,3.05,825,-88125,163.05,3.05,-12.75,1002525,13319,8484,7000,1027
1485.45,150,1455.10,1125,-4950,-,1475.00,203.15,7650,102,3.15,825,3.10,5775,-89100,163.05,3.15,-12.65,1001550,13585,8474,7000,1031
1495.90,375,1477.15,75,-4950,106.40,1475.00,203.15,7650,102,3.20,1125,3.15,75,-83250,164.88,3.15,-12.65,1007400,13823,8493,7000,1034
1510.45,1725,1484.50,75,-4950,106.40,1475.00,203.15,7650,102,3.15,1575,3.05,6675,-78750,164.88,3.05,-12.75,1011900,14000,8490,7000,1037
1513.50,300,1483.60,75,-4950,106.40,1475.00,203.15,7650,102,3.00,8550,2.95,2100,-79950,164.88,3.00,-12.80,1010700,14242,8498,7000,1039
1524.95,1725,1494.45,75,-4950,-,1475.00,203.15,7650,102,3.00,2850,2.95,2025,-83925,166.33,2.95,-12.85,1006725,14510,8501,7000,1042
1510.70,1725,1487.15,75,-4950,-,1475.00,203.15,7650,102,3.00,8400,2.90,1950,-84300,166.33,2.90,-12.90,1006350,14583,8496,7000,1045
1491.00,75,1458.50,1800,-4950,-,1475.00,203.15,7650,102,2.95,2850,2.90,75,-82500,166.33,2.95,-12.85,1008150,14862,8472,7000,1048
1468.90,150,1456.00,675,-4950,209.81,1475.00,203.15,7650,102,2.95,5400,2.90,975,-83700,162.53,2.90,-12.90,1006950,15066,8467,7000,1051
1482.45,75,1469.20,75,-4950,209.81,1475.00,203.15,7650,102,2.90,1725,2.85,4275,-89325,162.53,2.90,-12.90,1001325,15122,8478,7000,1054
1468.25,75,1455.40,1125,-4950,209.81,1475.00,203.15,7650,102,2.90,1275,2.85,600,-89550,162.53,2.90,-12.90,1001100,15235,8475,7000,1057
1483.50,150,1472.35,150,-4950,209.81,1475.00,203.15,7650,102,2.85,4425,2.80,4875,-94275,162.53,2.80,-13.00,996375,15308,8480,7000,1100
1476.65,75,1453.85,450,-4950,-,1475.00,203.15,7650,102,2.80,9900,2.75,750,-92550,163.24,2.80,-13.00,998100,15643,8466,7000,1103
1474.20,975,1452.65,75,-4950,-,1475.00,203.15,7650,102,2.75,9825,2.65,1350,-93825,163.24,2.65,-13.15,996825,15753,8467,7000,1106
1469.25,1725,1446.95,75,-4950,-,1475.00,203.15,7650,102,2.65,1350,2.60,1500,-91500,163.24,2.65,-13.15,999150,15946,8464,7000,1109
