ce_askprice,ce_askqty,ce_bidprice,ce_bidqty,ce_chng_in_oi,ce_iv,ce_ltp,ce_net_chng,ce_oi,ce_volume,pe_askprice,pe_askqty,pe_bidprice,pe_bidqty,pe_chng_in_oi,pe_iv,pe_ltp,pe_net_chng,pe_oi,pe_volume,spot_price,strike_price,time
446.65,675,441.35,75,15225,53.61,438.00,-99.95,28125,373,126.50,75,126.10,75,121350,67.20,126.25,13.40,363075,20787,8160,7800,1002
427.25,75,420.15,75,15225,49.15,430.00,-107.95,28125,383,133.95,75,133.65,450,157575,68.24,133.65,20.80,399300,23000,8141,7800,1005
430.00,225,426.15,150,13800,49.15,430.00,-107.95,26700,404,128.85,150,128.20,75,184275,68.24,128.40,15.55,426000,24543,8152,7800,1007
423.10,75,417.65,75,14625,49.15,424.65,-113.30,27525,416,131.15,150,130.60,525,220575,68.24,131.10,18.25,462300,25458,8143,7800,1010
434.50,450,428.10,75,14625,46.92,428.00,-109.95,27525,424,126.85,75,126.30,75,239400,66.64,126.80,13.95,481125,27137,8157,7800,1013
442.55,375,437.25,75,14775,46.92,439.65,-98.30,27675,432,122.00,225,121.50,225,239400,66.64,122.00,9.15,481125,28228,8167,7800,1016
442.90,225,437.35,75,14925,46.92,437.30,-100.65,27825,451,124.80,75,124.50,75,262725,66.64,124.55,11.70,504450,30397,8165,7800,1020
442.90,225,437.35,75,14925,46.92,437.30,-100.65,27825,451,124.80,75,124.50,75,262725,66.64,124.55,11.70,504450,30397,8165,7800,1022
429.40,75,421.40,150,14775,46.96,421.25,-116.70,27675,466,127.40,225,126.80,225,275100,66.96,127.85,15.00,516825,32060,8151,7800,1025
431.20,150,425.35,150,14775,46.96,430.95,-107.00,27675,470,125.80,225,125.30,525,275100,66.96,125.30,12.45,516825,32534,8157,7800,1028
433.20,75,427.55,75,14625,43.72,428.00,-109.95,27525,472,125.70,300,125.25,75,279900,66.82,125.05,12.20,521625,33364,8161,7800,1031
431.90,2175,423.75,300,14550,43.72,425.00,-112.95,27450,479,126.20,450,125.50,75,279900,66.82,125.85,13.00,521625,33864,8151,7800,1034
425.40,150,420.15,75,14475,43.72,422.00,-115.95,27375,483,127.35,75,126.70,300,280050,66.82,127.00,14.15,521775,34333,8146,7800,1037
418.40,75,411.95,375,14625,43.72,415.60,-122.35,27525,487,128.60,150,128.10,225,288300,66.82,128.15,15.30,530025,35064,8134,7800,1040
417.70,75,411.60,75,14400,46.45,414.00,-123.95,27300,492,127.90,375,127.25,75,289200,65.85,127.80,14.95,530925,36374,8136,7800,1043
425.30,75,421.25,75,14250,46.45,423.25,-114.70,27150,495,125.75,75,124.95,75,299775,65.85,125.30,12.45,541500,37103,8144,7800,1046
