ce_askprice,ce_askqty,ce_bidprice,ce_bidqty,ce_chng_in_oi,ce_iv,ce_ltp,ce_net_chng,ce_oi,ce_volume,pe_askprice,pe_askqty,pe_bidprice,pe_bidqty,pe_chng_in_oi,pe_iv,pe_ltp,pe_net_chng,pe_oi,pe_volume,spot_price,strike_price,time
82.50,300,81.40,75,15825,-,82.90,-136.60,29325,1381,82.85,75,81.95,300,16800,-,82.95,-1.65,78450,2663,8482,8450,0925
74.95,150,73.85,375,48675,-,74.00,-145.50,62175,1927,80.95,75,80.15,75,39675,-,80.15,-4.45,101325,3466,8476,8450,0928
70.75,150,69.75,225,57975,-,70.45,-149.05,71475,2382,78.80,75,78.00,150,48450,-,78.25,-6.35,110100,4063,8461,8450,0930
65.45,150,64.60,450,57975,-,65.60,-153.90,71475,2543,82.00,75,81.50,75,48450,-,80.75,-3.85,110100,4565,8469,8450,0934
56.50,75,55.90,75,90075,-,55.95,-163.55,103575,3861,96.25,225,95.20,75,46575,-,96.50,11.90,108225,5998,8444,8450,0937
60.55,375,59.95,75,90075,-,59.70,-159.80,103575,4819,101.25,75,100.50,300,46575,-,100.60,16.00,108225,6922,8435,8450,0940
54.40,225,53.80,600,114825,-,53.60,-165.90,128325,5987,107.50,75,106.65,300,60225,-,107.25,22.65,121875,8225,8424,8450,0942
54.10,75,53.70,75,121950,-,53.85,-165.65,135450,6808,104.85,225,104.05,75,54075,-,104.30,19.70,115725,8941,8422,8450,0945
51.35,75,50.95,150,121950,-,50.95,-168.55,135450,7994,108.30,75,107.55,75,54075,-,107.70,23.10,115725,9430,8407,8450,0948
42.75,75,42.50,75,165450,-,42.60,-176.90,178950,10120,117.20,75,116.40,75,43125,-,117.10,32.50,104775,10221,8392,8450,0951
37.20,150,36.90,75,188250,-,37.15,-182.35,201750,12043,133.80,225,132.75,75,35775,-,132.75,48.15,97425,11094,8367,8450,0954
37.25,600,36.90,75,188250,-,36.95,-182.55,201750,13468,136.50,75,135.65,150,35775,-,135.95,51.35,97425,11773,8365,8450,0957
46.80,225,46.40,75,213150,-,46.95,-172.55,226650,15978,108.70,225,107.80,75,29775,-,107.80,23.20,91425,12735,8404,8450,1000
41.85,75,41.50,300,234450,-,41.85,-177.65,247950,17751,121.45,225,120.75,300,51675,-,121.60,37.00,113325,13742,8386,8450,1004
44.05,75,43.75,75,234450,-,43.75,-175.75,247950,18468,116.60,225,115.80,75,51675,-,116.25,31.65,113325,14069,8401,8450,1007
40.10,75,39.80,225,239025,-,39.95,-179.55,252525,20633,121.95,75,120.90,225,56625,-,120.70,36.10,118275,14900,8390,8450,1010
39.70,75,39.35,75,239025,-,39.60,-179.90,252525,21439,123.95,75,122.85,375,56625,-,121.95,37.35,118275,15110,8385,8450,1013
33.75,75,33.50,1725,258750,-,33.55,-185.95,272250,23477,129.95,75,129.10,750,51825,-,128.30,43.70,113475,15777,8375,8450,1016
36.50,75,36.25,75,268425,-,36.35,-183.15,281925,24171,122.00,75,121.15,75,51825,-,122.65,38.05,113475,15900,8386,8450,1019
37.90,75,37.65,75,268425,-,37.65,-181.85,281925,24645,123.20,150,122.45,75,49275,-,122.35,37.75,110925,16066,8385,8450,1022
35.65,300,35.35,150,274575,-,35.35,-184.15,288075,25553,127.80,225,127.05,75,50175,-,126.65,42.05,111825,16307,8381,8450,1025
39.00,150,38.60,75,278925,-,38.55,-180.95,292425,26459,119.15,300,118.35,150,49350,-,118.40,33.80,111000,16493,8392,8450,1028
32.55,900,32.30,75,278925,-,32.50,-187.00,292425,26986,128.35,75,127.60,300,49350,-,127.75,43.15,111000,16628,8373,8450,1031
36.10,75,35.80,150,288075,-,35.90,-183.60,301575,27838,121.25,75,120.30,75,47925,-,120.45,35.85,109575,16766,8382,8450,1033
33.15,300,32.85,75,301275,-,33.00,-186.50,314775,28441,126.45,75,125.70,225,47775,-,126.40,41.80,109425,16852,8382,8450,1036
