ce_askprice,ce_askqty,ce_bidprice,ce_bidqty,ce_chng_in_oi,ce_iv,ce_ltp,ce_net_chng,ce_oi,ce_volume,pe_askprice,pe_askqty,pe_bidprice,pe_bidqty,pe_chng_in_oi,pe_iv,pe_ltp,pe_net_chng,pe_oi,pe_volume,spot_price,strike_price,time
447.00,75,442.80,75,1050,-,446.00,49.95,216825,571,54.25,300,53.80,75,65100,120.83,54.10,-94.05,1104000,14712,8455,8000,0920
443.75,75,438.75,75,1050,-,443.65,47.60,216825,481,58.00,600,57.65,450,65100,123.16,58.00,-90.15,1104000,12135,8439,8000,0921
439.15,75,435.75,150,-1650,78.56,435.65,39.60,214125,637,51.80,75,51.65,75,183750,114.69,51.90,-96.25,1222650,18860,8437,8000,0924
433.60,75,430.10,150,-1350,63.60,432.65,36.60,214425,726,49.00,150,48.80,75,270000,113.36,48.85,-99.30,1308900,25616,8427,8000,0927
397.90,225,393.60,225,-675,64.65,391.90,-4.15,215100,837,54.70,75,54.40,75,353100,108.98,54.50,-93.65,1392000,32930,8371,8000,0930
404.95,150,401.10,225,-675,86.92,406.70,10.65,215100,933,52.20,75,51.95,150,353100,106.30,52.25,-95.90,1392000,35989,8370,8000,0933
387.10,450,382.70,525,7500,73.05,384.90,-11.15,223275,1180,54.15,300,53.80,225,382875,106.29,54.10,-94.05,1421775,40750,8362,8000,0936
402.00,150,399.95,75,6750,55.41,400.80,4.75,222525,1504,48.55,225,48.30,150,449325,105.43,48.55,-99.60,1488225,46135,8392,8000,0939
410.35,225,405.60,525,14850,49.71,404.90,8.85,230625,1576,45.95,75,45.80,75,449325,104.90,45.95,-102.20,1488225,50396,8402,8000,0942
429.85,150,425.50,75,12600,-,424.90,28.85,228375,1697,39.45,300,39.20,150,426375,104.54,39.20,-108.95,1465275,57338,8431,8000,0945
446.35,150,442.85,75,10500,-,444.90,48.85,226275,1824,35.55,900,35.25,300,421500,102.78,35.50,-112.65,1460400,62367,8448,8000,0948
444.85,600,442.50,150,10500,-,447.05,51.00,226275,1854,36.65,300,36.45,225,421500,103.06,36.40,-111.75,1460400,63962,8445,8000,0951
455.00,75,453.45,75,7425,47.18,454.00,57.95,223200,1940,35.50,825,35.30,375,465525,103.98,35.35,-112.80,1504425,68348,8450,8000,0954
462.40,75,458.60,150,7425,-,454.25,58.20,223200,1963,35.25,225,35.00,600,465525,103.58,35.25,-112.90,1504425,69651,8459,8000,0958
455.00,75,453.25,75,1275,67.50,455.00,58.95,217050,2172,33.30,75,33.10,675,482175,100.03,33.10,-115.05,1521075,74415,8442,8000,1001
427.05,225,422.70,150,1050,67.82,428.50,32.45,216825,2246,36.80,2250,36.65,225,505950,99.47,36.80,-111.35,1544850,77703,8419,8000,1004
431.05,225,427.05,75,1050,67.82,427.20,31.15,216825,2345,35.40,75,35.25,900,505950,99.47,35.45,-112.70,1544850,79940,8423,8000,1007
441.05,75,437.85,75,600,67.82,442.75,46.70,216375,2383,32.90,75,32.70,300,538875,99.47,33.00,-115.15,1577775,82925,8432,8000,1010
435.70,150,431.80,225,600,72.09,436.05,40.00,216375,2417,33.55,75,33.40,225,572625,98.81,33.50,-114.65,1611525,85402,8427,8000,1012
434.70,225,430.90,75,-600,72.09,429.15,33.10,215175,2432,33.45,600,33.25,150,564825,98.81,33.45,-114.70,1603725,87914,8419,8000,1016
454.55,150,450.85,75,-5775,72.09,456.70,60.65,210000,2440,30.70,600,30.50,1050,564825,98.81,30.70,-117.45,1603725,89097,8444,8000,1019
456.40,150,452.55,150,-5025,67.15,455.80,59.75,210750,2524,29.35,75,29.20,825,595200,96.20,29.20,-118.95,1634100,95994,8451,8000,1022
470.00,75,466.80,150,-5025,67.15,467.40,71.35,210750,2526,28.00,150,27.85,825,595200,96.20,28.00,-120.15,1634100,97186,8457,8000,1025
500.80,75,496.60,150,-5550,67.15,499.95,103.90,210225,2634,27.15,225,27.00,450,607350,96.20,27.00,-121.15,1646250,100777,8484,8000,1027
491.20,225,487.20,375,-4875,67.15,490.00,93.95,210900,2741,27.35,225,27.15,975,595575,96.20,27.40,-120.75,1634475,103709,8474,8000,1031
513.25,150,510.00,150,-7200,82.21,511.30,115.25,208575,2785,26.45,75,26.30,525,604725,98.17,26.50,-121.65,1643625,106776,8493,8000,1034
519.20,150,515.20,75,-8325,82.21,517.00,120.95,207450,2858,28.35,900,28.20,75,620775,98.17,28.40,-119.75,1659675,110972,8490,8000,1037
524.25,75,519.80,75,-8625,82.21,522.00,125.95,207150,2892,28.80,150,28.70,225,580875,98.17,28.75,-119.40,1619775,114292,8498,8000,1039
