ce_askprice,ce_askqty,ce_bidprice,ce_bidqty,ce_chng_in_oi,ce_iv,ce_ltp,ce_net_chng,ce_oi,ce_volume,pe_askprice,pe_askqty,pe_bidprice,pe_bidqty,pe_chng_in_oi,pe_iv,pe_ltp,pe_net_chng,pe_oi,pe_volume,spot_price,strike_price,time
18.60,75,18.40,300,15375,92.50,18.45,-9.25,1409175,9350,630.10,150,624.10,225,3075,141.66,620.00,-158.75,237900,373,8455,9000,0920
18.35,825,18.15,150,15375,91.52,18.35,-9.35,1409175,7220,636.90,75,631.65,75,3075,150.12,636.20,-142.55,237900,341,8439,9000,0921
15.95,675,15.75,525,66225,92.42,15.90,-11.80,1460025,14121,631.10,75,626.20,300,-5475,135.94,629.20,-149.55,229350,406,8437,9000,0924
14.90,525,14.70,75,132525,89.14,14.70,-13.00,1526325,18026,634.15,75,630.25,75,-3375,133.31,625.15,-153.60,231450,539,8427,9000,0927
10.40,975,10.30,300,208875,87.62,10.40,-17.30,1602675,23749,670.05,75,665.65,225,-2100,138.09,670.30,-108.45,232725,622,8371,9000,0930
10.45,300,10.30,600,208875,89.33,10.45,-17.25,1602675,26084,661.35,75,656.40,75,-2100,125.65,665.00,-113.75,232725,638,8370,9000,0933
10.05,450,10.00,27750,243300,88.67,10.05,-17.65,1637100,29613,681.10,75,676.45,75,-3000,130.46,679.90,-98.85,231825,692,8362,9000,0936
11.15,825,11.00,2850,322575,87.70,11.15,-16.55,1716375,32517,660.45,75,656.25,75,-3900,133.10,658.00,-120.75,230925,757,8392,9000,0939
11.25,1500,11.10,525,322575,86.85,11.05,-16.65,1716375,33900,652.45,75,647.00,75,-4275,137.39,651.65,-127.10,230550,805,8402,9000,0942
12.35,2250,12.15,1650,327600,85.38,12.25,-15.45,1721400,37068,627.65,75,622.55,75,-5850,140.96,637.45,-141.30,228975,827,8431,9000,0945
12.65,300,12.55,900,352050,83.47,12.70,-15.00,1745850,40626,608.95,225,601.75,75,-5625,131.02,602.00,-176.75,229200,916,8448,9000,0948
13.35,75,13.30,2025,352050,83.58,13.35,-14.35,1745850,42821,608.20,75,603.55,75,-5625,132.71,605.30,-173.45,229200,934,8445,9000,0951
13.50,12150,13.40,300,335925,84.36,13.45,-14.25,1729725,46634,595.55,75,591.65,225,-5325,121.97,594.90,-183.85,229500,1002,8450,9000,0954
13.55,300,13.45,150,335925,83.77,13.55,-14.15,1729725,47945,590.80,150,586.40,75,-5325,121.42,589.15,-189.60,229500,1013,8459,9000,0958
13.50,1725,13.35,750,352350,84.86,13.30,-14.40,1746150,52267,594.95,150,589.35,75,-3225,108.64,595.00,-183.75,231600,1065,8442,9000,1001
11.20,1650,11.10,375,354975,84.26,11.10,-16.60,1748775,54974,624.45,150,619.15,75,-4575,109.79,614.00,-164.75,230250,1080,8419,9000,1004
10.90,450,10.80,225,354975,84.26,10.85,-16.85,1748775,56727,618.10,300,613.25,75,-5250,109.79,612.60,-166.15,229575,1092,8423,9000,1007
11.40,975,11.30,675,364275,84.26,11.30,-16.40,1758075,58640,603.30,150,600.00,75,-5250,109.79,600.00,-178.75,229575,1106,8432,9000,1010
10.30,75,10.20,375,374550,82.54,10.30,-17.40,1768350,60572,611.10,150,606.00,75,-4875,116.79,607.05,-171.70,229950,1126,8427,9000,1012
9.95,900,9.85,75,428700,82.54,9.80,-17.90,1822500,63063,612.20,150,607.60,75,-4950,116.79,608.00,-170.75,229875,1137,8419,9000,1016
11.00,1350,10.90,825,428700,82.54,10.95,-16.75,1822500,63864,590.40,225,585.30,150,-4725,116.79,584.20,-194.55,230100,1144,8444,9000,1019
10.35,75,10.25,1650,448350,80.01,10.35,-17.35,1842150,67991,585.30,75,581.30,75,-900,102.35,580.00,-198.75,233925,1260,8451,9000,1022
11.00,75,10.90,900,448350,80.01,11.10,-16.60,1842150,68963,570.00,150,567.40,75,-900,102.35,569.95,-208.80,233925,1301,8457,9000,1025
13.55,750,13.40,600,433275,80.01,13.50,-14.20,1827075,72745,543.35,75,539.05,75,1200,102.35,544.55,-234.20,236025,1373,8484,9000,1027
12.00,4125,11.90,1200,428325,80.01,11.95,-15.75,1822125,76244,550.10,75,546.55,75,1875,102.35,552.70,-226.05,236700,1420,8474,9000,1031
14.05,1350,13.90,1050,411000,79.03,14.05,-13.65,1804800,79016,529.35,75,525.10,75,-2250,99.83,526.90,-251.85,232575,1468,8493,9000,1034
17.20,450,17.05,1725,348675,79.03,17.25,-10.45,1742475,86111,530.40,75,525.60,225,-2325,99.83,530.75,-248.00,232500,1645,8490,9000,1037
21.70,75,21.55,450,266700,79.03,21.70,-6.00,1660500,94981,530.05,225,525.25,75,-6450,99.83,528.00,-250.75,228375,1730,8498,9000,1039
22.95,75,22.90,450,224850,87.06,22.95,-4.75,1618650,99854,523.00,75,519.30,75,-4500,99.82,522.65,-256.10,230325,1782,8501,9000,1042
22.45,75,22.35,150,203475,87.06,22.20,-5.50,1597275,103004,526.05,75,521.95,75,-5325,99.82,528.05,-250.70,229500,1801,8496,9000,1045
18.20,1275,18.10,225,230250,87.06,18.15,-9.55,1624050,107028,552.35,150,546.95,150,-8100,99.82,554.75,-224.00,226725,1820,8472,9000,1048
17.10,900,17.00,3000,252150,86.49,17.00,-10.70,1645950,111050,555.00,75,553.45,75,-9075,104.69,555.65,-223.10,225750,1855,8467,9000,1051
