ce_askprice,ce_askqty,ce_bidprice,ce_bidqty,ce_chng_in_oi,ce_iv,ce_ltp,ce_net_chng,ce_oi,ce_volume,pe_askprice,pe_askqty,pe_bidprice,pe_bidqty,pe_chng_in_oi,pe_iv,pe_ltp,pe_net_chng,pe_oi,pe_volume,spot_price,strike_price,time
90.30,75,90.10,75,600,87.85,90.75,0.60,346650,7884,300.15,75,297.30,75,3450,121.60,297.55,-141.55,97275,987,8455,8600,0920
90.70,75,90.30,675,600,86.06,90.30,0.15,346650,6373,305.90,75,302.30,150,3450,125.76,302.00,-137.10,97275,871,8439,8600,0921
82.30,75,81.70,300,21000,87.78,82.20,-7.95,367050,11470,297.20,150,294.15,75,8925,109.81,297.15,-141.95,102750,1220,8437,8600,0924
78.45,75,78.00,300,113775,84.05,78.40,-11.75,459825,16010,297.40,450,294.05,225,14325,110.89,295.00,-144.10,108150,1453,8427,8600,0927
60.50,75,60.05,525,197400,81.38,60.70,-29.45,543450,20880,320.80,75,318.40,75,18600,108.79,317.50,-121.60,112425,1933,8371,8600,0930
64.00,375,63.45,75,197400,84.00,63.75,-26.40,543450,22956,313.05,75,310.60,75,18600,102.23,310.25,-128.85,112425,2041,8370,8600,0933
56.95,525,56.45,150,203250,81.80,56.55,-33.60,549300,26285,326.15,75,323.85,75,20100,105.22,324.45,-114.65,113925,2267,8362,8600,0936
62.25,75,62.00,150,269025,79.93,62.60,-27.55,615075,30563,310.90,75,308.55,75,23100,107.48,308.20,-130.90,116925,2548,8392,8600,0939
64.60,75,64.00,300,269025,79.60,64.50,-25.65,615075,32489,301.25,75,300.00,375,23100,108.01,301.00,-138.10,116925,2683,8402,8600,0942
70.45,75,70.00,75,295425,77.78,70.55,-19.60,641475,35370,284.75,75,282.35,225,51900,105.26,283.30,-155.80,145725,3394,8431,8600,0945
74.90,525,74.85,150,321150,76.18,74.90,-15.25,667200,38802,268.75,75,266.65,75,43350,102.67,268.50,-170.60,137175,3825,8448,8600,0948
74.35,75,74.00,900,321150,77.11,74.05,-16.10,667200,39821,268.25,75,266.70,75,43350,102.13,267.50,-171.60,137175,3900,8445,8600,0951
80.75,300,80.25,75,299175,79.03,80.30,-9.85,645225,43605,261.15,300,258.80,75,46800,101.63,259.65,-179.45,140625,4313,8450,8600,0954
82.60,300,82.15,75,299175,79.18,82.25,-7.90,645225,44929,257.95,150,256.05,75,46800,100.62,256.75,-182.35,140625,4375,8459,8600,0958
80.65,75,80.25,150,287775,80.42,80.25,-9.90,633825,49311,259.80,75,257.75,75,47250,95.73,259.40,-179.70,141075,4825,8442,8600,1001
69.50,450,69.10,75,300375,82.05,69.40,-20.75,646425,51801,280.00,150,278.30,75,54825,93.74,280.00,-159.10,148650,5125,8419,8600,1004
70.55,75,70.20,75,300375,82.05,70.70,-19.45,646425,53139,277.05,150,274.65,75,54825,93.74,276.65,-162.45,148650,5390,8423,8600,1007
71.95,225,71.55,225,307500,82.05,71.85,-18.30,653550,55389,265.85,75,263.65,150,61425,93.74,263.65,-175.45,155250,5498,8432,8600,1010
69.55,300,69.15,75,333975,78.01,69.35,-20.80,680025,57194,269.00,150,267.20,75,64275,95.03,268.15,-170.95,158100,5608,8427,8600,1012
68.95,450,68.55,75,331950,78.01,68.55,-21.60,678000,58855,270.30,75,268.85,450,65250,95.03,270.30,-168.80,159075,5750,8419,8600,1016
76.45,75,76.25,75,331950,78.01,76.10,-14.05,678000,59596,254.95,300,252.80,75,65250,95.03,254.50,-184.60,159075,5889,8444,8600,1019
75.60,150,75.15,450,351750,78.36,75.15,-15.00,697800,64142,249.60,150,248.45,75,69825,90.10,249.00,-190.10,163650,6443,8451,8600,1022
80.55,75,80.20,600,351750,78.36,80.25,-9.90,697800,65089,240.20,75,238.70,75,69825,90.10,240.00,-199.10,163650,6579,8457,8600,1025
94.85,75,94.40,75,348525,78.36,95.00,4.85,694575,68723,222.55,75,220.80,150,76800,90.10,220.00,-219.10,170625,7057,8484,8600,1027
87.95,450,87.55,150,328500,78.36,88.05,-2.10,674550,72161,226.10,75,224.55,150,80550,90.10,226.30,-212.80,174375,7435,8474,8600,1031
99.15,75,98.75,225,339525,79.19,99.00,8.85,685575,75211,214.70,300,212.95,75,82500,88.04,213.30,-225.80,176325,7792,8493,8600,1034
113.90,75,113.45,225,312225,79.19,113.75,23.60,658275,82324,224.90,150,224.10,375,90225,88.04,224.40,-214.70,184050,8570,8490,8600,1037
123.15,450,122.45,150,271800,79.19,122.50,32.35,617850,89007,229.70,75,228.25,150,98175,88.04,230.00,-209.10,192000,9162,8498,8600,1039
128.00,600,127.55,75,220800,92.54,128.00,37.85,566850,92587,227.85,600,227.00,750,91275,95.86,227.40,-211.70,185100,9443,8501,8600,1042
124.15,75,123.60,75,201525,92.54,123.65,33.50,547575,94877,226.25,150,224.85,225,86325,95.86,226.35,-212.75,180150,9641,8496,8600,1045
109.20,75,108.80,150,210750,92.54,108.65,18.50,556800,97785,241.95,75,240.00,150,90300,95.86,241.10,-198.00,184125,9944,8472,8600,1048
103.45,75,103.00,75,250800,88.87,103.55,13.40,596850,101001,243.80,75,242.15,150,91200,96.66,242.60,-196.50,185025,10396,8467,8600,1051
109.45,300,108.85,75,247875,88.87,109.40,19.25,593925,101894,235.85,75,235.00,150,95100,96.66,237.05,-202.05,188925,10580,8478,8600,1054
100.25,75,99.95,75,244575,88.87,100.30,10.15,590625,103831,244.15,150,242.65,150,89325,96.66,243.05,-196.05,183150,10652,8475,8600,1057
107.85,75,107.40,75,244575,88.87,107.60,17.45,590625,105070,231.95,75,230.45,150,91500,96.66,229.95,-209.15,185325,10825,8480,8600,1100
102.40,75,102.00,75,251475,89.89,101.65,11.50,597525,107273,240.25,150,238.80,150,89625,94.15,239.10,-200.00,183450,11127,8466,8600,1103
