ce_askprice,ce_askqty,ce_bidprice,ce_bidqty,ce_chng_in_oi,ce_iv,ce_ltp,ce_net_chng,ce_oi,ce_volume,pe_askprice,pe_askqty,pe_bidprice,pe_bidqty,pe_chng_in_oi,pe_iv,pe_ltp,pe_net_chng,pe_oi,pe_volume,spot_price,strike_price,time
196.60,150,194.40,375,67350,86.64,196.75,41.95,419625,12470,637.15,225,626.85,75,18825,-,620.15,-155.75,27000,563,8561,9000,1110
196.05,225,195.00,75,67200,86.64,196.00,41.20,419475,12571,643.70,75,635.75,75,18825,-,629.50,-146.40,27000,565,8542,9000,1113
191.90,675,190.00,75,80700,86.64,190.60,35.80,432975,13138,594.45,75,585.50,75,18300,-,585.30,-190.60,26475,584,8604,9000,1116
193.00,225,192.00,75,80700,86.64,192.50,37.70,432975,13290,586.10,150,575.70,75,18300,-,573.40,-202.50,26475,598,8619,9000,1119
186.85,75,185.50,75,80775,86.64,186.85,32.05,433050,13510,582.60,150,573.80,300,18675,-,588.00,-187.90,26850,646,8610,9000,1122
193.95,75,193.00,1500,86850,86.64,193.95,39.15,439125,13780,609.10,150,600.30,75,21825,-,598.35,-177.55,30000,653,8597,9000,1125
184.95,150,184.00,900,87075,86.64,184.00,29.20,439350,13987,622.00,225,620.00,75,21750,-,622.00,-153.90,29925,654,8558,9000,1129
187.10,150,186.00,1875,90900,86.64,188.00,33.20,443175,14219,615.00,225,613.00,150,22350,-,613.00,-162.90,30525,681,8566,9000,1131
174.20,600,172.10,300,97875,86.64,175.65,20.85,450150,14519,623.50,600,619.45,150,24000,-,623.05,-152.85,32175,713,8538,9000,1135
168.90,225,166.60,225,103050,86.64,166.40,11.60,455325,14953,614.05,75,610.00,75,25500,-,612.45,-163.45,33675,760,8543,9000,1139
192.00,150,191.45,75,120450,86.64,192.00,37.20,472725,16066,564.90,150,555.30,150,27750,-,565.25,-210.65,35925,866,8626,9000,1144
203.00,150,201.40,300,120450,86.64,202.05,47.25,472725,16438,574.00,225,564.00,300,27750,-,566.80,-209.10,35925,895,8617,9000,1146
213.75,150,212.50,375,128325,86.64,213.00,58.20,480600,17321,567.65,75,565.55,75,29100,-,575.45,-200.45,37275,932,8624,9000,1150
224.00,825,223.00,1275,126825,86.64,223.00,68.20,479100,17549,573.05,300,568.40,150,29550,-,570.60,-205.30,37725,947,8643,9000,1153
219.90,300,218.35,75,126825,86.64,219.95,65.15,479100,17817,574.65,225,567.80,375,29550,-,572.45,-203.45,37725,948,8634,9000,1155
216.00,75,215.05,75,125400,86.64,215.40,60.60,477675,18257,581.40,75,577.80,75,29475,-,581.45,-194.45,37650,966,8620,9000,1158
226.00,300,224.40,75,126825,86.64,225.00,70.20,479100,18576,557.30,150,553.30,75,29850,-,559.75,-216.15,38025,989,8659,9000,1202
235.05,75,233.50,75,129825,86.64,233.50,78.70,482100,19012,525.10,75,523.00,75,29850,-,523.70,-252.20,38025,1049,8705,9000,1205
232.95,75,232.00,225,129825,86.64,232.05,77.25,482100,19203,530.00,150,525.65,375,31575,-,530.00,-245.90,39750,1100,8687,9000,1207
234.15,300,232.60,75,132450,86.64,232.60,77.80,484725,19704,519.45,150,513.30,300,34275,-,517.45,-258.45,42450,1152,8707,9000,1211
235.00,150,234.15,75,132450,86.64,235.00,80.20,484725,19823,516.30,150,512.15,150,34275,-,516.50,-259.40,42450,1174,8713,9000,1214
226.75,300,223.55,75,132450,86.64,226.60,71.80,484725,20279,550.00,75,546.65,375,35775,-,530.75,-245.15,43950,1222,8694,9000,1218
233.55,150,231.95,225,131850,86.64,232.40,77.60,484125,20759,547.10,150,543.40,75,35925,-,545.80,-230.10,44100,1288,8685,9000,1222
234.00,75,232.60,75,134175,86.64,233.70,78.90,486450,20886,542.75,150,535.10,450,35700,-,540.05,-235.85,43875,1328,8686,9000,1225
227.25,150,225.45,75,134250,86.64,226.55,71.75,486525,21049,546.45,150,539.60,225,35850,-,554.85,-221.05,44025,1338,8682,9000,1228
232.95,75,231.25,225,135525,86.64,232.95,78.15,487800,21248,554.70,300,552.00,150,36600,-,552.00,-223.90,44775,1358,8677,9000,1232
233.95,75,232.40,300,135525,86.64,233.00,78.20,487800,21289,548.90,75,546.45,75,36600,-,545.70,-230.20,44775,1393,8681,9000,1235
238.95,150,238.15,75,136125,86.64,238.00,83.20,488400,21512,541.55,300,537.60,75,37650,-,538.00,-237.90,45825,1427,8715,9000,1237
239.95,75,238.85,1350,136125,86.64,239.00,84.20,488400,21572,541.05,75,538.35,75,37650,-,537.65,-238.25,45825,1428,8712,9000,1241
234.85,150,232.90,75,135525,86.64,235.00,80.20,487800,21379,545.20,300,538.10,375,36600,-,543.25,-232.65,44775,1397,8692,9000,1244
234.85,150,232.90,75,135525,86.64,235.00,80.20,487800,21379,545.20,300,538.10,375,36600,-,543.25,-232.65,44775,1397,8692,9000,1247
234.85,150,232.90,75,135525,86.64,235.00,80.20,487800,21379,545.20,300,538.10,375,36600,-,543.25,-232.65,44775,1397,8692,9000,1251
234.85,150,232.90,75,135525,86.64,235.00,80.20,487800,21379,545.20,300,538.10,375,36600,-,543.25,-232.65,44775,1397,8692,9000,1256
234.85,150,232.90,75,135525,86.64,235.00,80.20,487800,21379,545.20,300,538.10,375,36600,-,543.25,-232.65,44775,1397,8692,9000,1300
242.00,150,240.20,300,136200,86.64,241.90,87.10,488475,22977,544.80,150,537.45,75,44175,-,530.25,-245.65,52350,1604,8711,9000,1303
226.95,150,225.25,450,139350,86.64,226.90,72.10,491625,23690,563.55,450,556.80,75,44100,-,570.15,-205.75,52275,1660,8683,9000,1308
230.00,300,229.00,75,139500,86.64,229.95,75.15,491775,23836,555.25,225,549.75,75,44100,-,558.20,-217.70,52275,1682,8702,9000,1312
237.90,150,236.80,75,137100,86.64,237.00,82.20,489375,24113,557.95,150,553.10,75,45000,-,555.65,-220.25,53175,1706,8706,9000,1316
240.05,675,238.25,75,137625,86.64,239.00,84.20,489900,24404,560.30,75,556.40,300,44925,-,557.75,-218.15,53100,1747,8709,9000,1320
236.95,150,235.25,75,137625,86.64,235.20,80.40,489900,24457,565.45,300,560.90,300,44925,-,560.00,-215.90,53100,1779,8698,9000,1323
210.10,150,208.15,150,137100,86.64,209.85,55.05,489375,24951,608.20,75,598.55,300,45150,-,603.45,-172.45,53325,1863,8670,9000,1326
200.00,75,198.40,225,137100,86.64,198.30,43.50,489375,25630,615.35,300,605.15,150,45150,-,603.75,-172.15,53325,1917,8628,9000,1330
187.70,600,185.25,75,153375,86.64,185.30,30.50,505650,27023,671.95,75,662.60,150,44775,-,656.65,-119.25,52950,2073,8578,9000,1334
183.85,225,182.15,75,163575,86.64,182.10,27.30,515850,27592,676.00,75,665.85,300,45075,-,670.00,-105.90,53250,2106,8547,9000,1338
180.95,75,180.00,75,167775,86.64,180.05,25.25,520050,28160,672.55,75,665.00,300,46125,-,676.30,-99.60,54300,2143,8551,9000,1341
184.00,225,183.05,75,176250,86.64,184.00,29.20,528525,28679,640.40,75,633.20,75,47775,-,640.00,-135.90,55950,2215,8572,9000,1344
193.00,375,191.80,75,176250,86.64,192.80,38.00,528525,29076,644.40,75,636.00,375,47775,-,644.45,-131.45,55950,2245,8581,9000,1347
191.00,1050,190.05,75,177300,86.64,190.95,36.15,529575,29386,663.65,150,658.35,225,51375,-,644.95,-130.95,59550,2257,8549,9000,1350
187.20,300,185.75,450,181275,86.64,187.25,32.45,533550,29530,663.95,150,656.70,300,51375,-,662.45,-113.45,59550,2270,8550,9000,1353
178.00,150,176.10,75,207450,86.64,176.00,21.20,559725,30475,680.80,150,672.50,75,51375,-,670.00,-105.90,59550,2358,8524,9000,1356
175.10,225,173.70,75,223050,86.64,173.90,19.10,575325,30985,673.55,150,666.10,75,54225,-,664.00,-111.90,62400,2389,8538,9000,1359
166.65,300,164.75,150,223050,86.64,166.55,11.75,575325,31345,675.35,75,667.85,300,55575,-,674.05,-101.85,63750,2417,8534,9000,1402
132.45,75,131.05,75,254250,86.64,132.40,-22.40,606525,33168,693.85,225,685.00,75,56925,-,685.05,-90.85,65100,2507,8489,9000,1405
143.75,75,141.80,225,254250,86.64,143.70,-11.10,606525,34123,683.50,150,674.90,300,56925,-,688.80,-87.10,65100,2572,8501,9000,1407
139.00,225,138.00,1350,264750,86.64,138.00,-16.80,617025,34835,685.65,300,676.45,75,57600,-,675.15,-100.75,65775,2586,8483,9000,1410
141.90,75,141.05,150,261975,86.64,141.05,-13.75,614250,35001,681.90,300,674.00,75,58200,-,679.30,-96.60,66375,2587,8486,9000,1413
172.95,75,171.25,75,259350,86.64,171.80,17.00,611625,36085,645.00,300,635.05,225,58950,-,632.50,-143.40,67125,2643,8549,9000,1416
167.80,150,166.00,675,255975,86.64,166.00,11.20,608250,36482,653.90,75,643.15,225,59325,-,644.10,-131.80,67500,2656,8532,9000,1419
172.10,225,170.45,150,255750,86.64,171.75,16.95,608025,36723,633.60,300,624.20,375,60300,-,626.65,-149.25,68475,2691,8561,9000,1422
160.80,300,159.45,75,256725,86.64,160.80,6.00,609000,36970,646.00,75,638.15,225,60900,-,645.75,-130.15,69075,2701,8528,9000,1425
158.95,75,157.30,150,256725,86.64,158.00,3.20,609000,37078,652.30,75,645.00,75,61875,-,653.00,-122.90,70050,2706,8525,9000,1428
163.95,300,163.00,75,257100,86.64,163.00,8.20,609375,37440,637.15,300,632.00,75,61875,-,635.00,-140.90,70050,2721,8546,9000,1431
180.00,75,179.30,300,252825,86.64,179.30,24.50,605100,38239,603.35,75,595.95,75,62700,-,593.90,-182.00,70875,2770,8602,9000,1434
174.95,75,173.55,225,252825,86.64,175.00,20.20,605100,38480,593.80,75,586.10,75,62400,-,590.00,-185.90,70575,2789,8602,9000,1437
181.50,225,180.05,75,252675,86.64,180.75,25.95,604950,38724,583.00,225,571.45,75,62775,-,573.70,-202.20,70950,2816,8623,9000,1440
173.05,300,171.25,75,253725,86.64,171.25,16.45,606000,38875,598.10,75,592.45,75,62175,-,589.45,-186.45,70350,2826,8591,9000,1443
173.00,150,171.95,150,254325,86.64,172.65,17.85,606600,39214,597.75,300,592.00,75,62775,-,593.65,-182.25,70950,2854,8598,9000,1446
177.75,75,176.15,300,258450,86.64,177.70,22.90,610725,39530,582.95,75,578.60,75,65250,-,576.10,-199.80,73425,2937,8611,9000,1449
181.95,150,180.25,375,260700,86.64,180.35,25.55,612975,39730,559.95,225,555.50,75,66600,-,558.00,-217.90,74775,2995,8656,9000,1452
194.90,75,193.55,75,261300,86.64,194.75,39.95,613575,40387,505.75,75,502.25,75,67125,-,503.95,-271.95,75300,3198,8716,9000,1455
189.00,150,187.95,300,263850,86.64,186.90,32.10,616125,40944,532.05,75,526.25,300,74475,-,523.50,-252.40,82650,3314,8686,9000,1458
202.65,225,201.05,450,269775,86.64,202.65,47.85,622050,41385,505.70,375,500.10,75,81525,-,504.30,-271.60,89700,3454,8731,9000,1501
172.00,300,171.05,750,270375,86.64,172.00,17.20,622650,42501,556.80,75,553.05,75,88350,-,556.45,-219.45,96525,3592,8634,9000,1504
180.00,300,179.40,75,278775,86.64,179.70,24.90,631050,43023,564.95,75,560.70,150,88950,-,566.35,-209.55,97125,3660,8639,9000,1507
174.25,75,173.15,75,293925,86.64,173.40,18.60,646200,43851,555.80,300,549.70,525,89550,-,551.00,-224.90,97725,3771,8661,9000,1510
171.55,750,170.40,75,298650,86.64,171.00,16.20,650925,44065,559.80,150,555.00,450,92625,-,550.00,-225.90,100800,3816,8633,9000,1513
173.25,3150,172.60,75,303225,86.64,173.00,18.20,655500,44721,557.70,75,555.00,75,99450,-,558.90,-217.00,107625,3979,8626,9000,1516
172.50,375,171.25,300,313875,86.64,172.50,17.70,666150,44929,555.05,75,550.10,300,100800,-,553.50,-222.40,108975,4015,8622,9000,1519
159.95,2700,159.00,150,330675,86.64,159.95,5.15,682950,45870,559.00,75,558.05,75,101925,-,558.00,-217.90,110100,4084,8608,9000,1522
162.50,900,162.10,450,332550,86.64,162.10,7.30,684825,46232,559.90,750,557.00,150,103200,-,558.00,-217.90,111375,4126,8620,9000,1525
172.75,450,172.00,75,337575,86.64,171.50,16.70,689850,46616,554.35,150,551.00,75,105675,-,550.00,-225.90,113850,4178,8642,9000,1528
