ce_askprice,ce_askqty,ce_bidprice,ce_bidqty,ce_chng_in_oi,ce_iv,ce_ltp,ce_net_chng,ce_oi,ce_volume,pe_askprice,pe_askqty,pe_bidprice,pe_bidqty,pe_chng_in_oi,pe_iv,pe_ltp,pe_net_chng,pe_oi,pe_volume,spot_price,strike_price,time
918.90,150,911.70,75,1725,66.46,910.95,63.50,720825,76,497.90,150,495.15,75,7350,77.11,497.90,-68.50,1817250,738,8439,8000,0920
906.90,75,901.90,75,1950,66.98,910.00,62.55,721050,93,499.00,75,496.60,75,12225,77.36,497.55,-68.85,1822125,790,8427,8000,0922
914.40,75,912.10,75,1950,67.55,916.35,68.90,721050,115,501.70,150,499.60,75,12225,77.39,499.20,-67.20,1822125,1002,8437,8000,0925
886.90,150,882.05,75,1125,67.25,889.00,41.55,720225,178,492.55,75,491.05,75,21750,75.79,490.10,-76.30,1831650,1475,8409,8000,0927
879.10,150,875.00,75,1125,66.80,876.15,28.70,720225,188,499.75,150,498.20,75,21750,75.28,498.10,-68.30,1831650,1529,8387,8000,0931
878.30,150,872.65,150,1950,67.04,880.00,32.55,721050,273,503.65,75,502.45,75,29250,75.68,503.25,-63.15,1839150,1833,8374,8000,0933
872.90,150,867.25,150,1950,67.91,865.15,17.70,721050,334,509.00,75,508.00,75,31650,75.34,509.85,-56.55,1841550,1980,8365,8000,0937
879.50,75,873.55,75,900,66.68,874.00,26.55,720000,352,496.90,75,495.40,75,31650,75.12,497.35,-69.05,1841550,2113,8388,8000,0939
876.65,75,871.90,150,-300,66.73,877.70,30.25,718800,389,495.60,75,494.10,75,36975,75.25,495.00,-71.40,1846875,2274,8392,8000,0942
890.80,75,884.40,150,-75,65.48,892.70,45.25,719025,415,485.50,75,484.25,150,38100,75.25,485.10,-81.30,1848000,2504,8432,8000,0945
914.95,75,910.80,75,-,65.45,910.00,62.55,719100,437,469.10,75,468.40,75,42000,74.86,469.00,-97.40,1851900,2926,8458,8000,0949
908.60,75,906.00,75,525,66.93,910.00,62.55,719625,447,478.90,150,477.85,75,44625,74.58,477.90,-88.50,1854525,3226,8442,8000,0952
924.50,225,916.75,150,-3075,66.91,920.00,72.55,716025,536,465.40,225,463.90,75,37650,74.44,464.55,-101.85,1847550,3656,8454,8000,0955
919.75,150,914.00,75,-3075,66.11,927.85,80.40,716025,544,459.20,75,457.40,75,37650,73.90,459.20,-107.20,1847550,3928,8454,8000,0958
914.85,150,909.80,150,-2700,67.61,911.65,64.20,716400,553,461.15,75,460.20,3000,33825,73.33,460.80,-105.60,1843725,4250,8442,8000,1001
901.60,75,896.25,225,-2850,66.91,899.00,51.55,716250,582,465.70,150,464.25,75,31500,73.06,466.60,-99.80,1841400,4439,8428,8000,1004
903.40,75,898.35,150,-2550,66.91,898.90,51.45,716550,601,464.90,300,463.05,75,30225,73.06,464.00,-102.40,1840125,4569,8431,8000,1007
901.55,150,900.00,75,-2025,66.91,904.00,56.55,717075,608,464.80,75,463.65,75,28725,73.06,464.25,-102.15,1838625,4696,8432,8000,1010
905.00,300,900.45,75,-2400,67.17,906.00,58.55,716700,615,464.45,150,462.45,75,28275,73.13,464.35,-102.05,1838175,4789,8431,8000,1013
904.25,150,898.85,75,-2250,67.17,895.00,47.55,716850,618,463.55,75,462.35,75,33150,73.13,462.35,-104.05,1843050,4868,8427,8000,1016
913.00,75,911.35,300,-3225,67.17,912.00,64.55,715875,624,456.95,150,456.05,75,26625,73.13,456.30,-110.10,1836525,4936,8444,8000,1019
917.35,150,911.55,75,-3225,67.25,920.60,73.15,715875,659,455.40,75,453.95,150,29325,72.61,455.35,-111.05,1839225,5391,8451,8000,1022
938.15,75,935.15,75,-3225,67.25,932.00,84.55,715875,680,446.15,75,445.00,1200,31650,72.61,445.00,-121.40,1841550,5459,8474,8000,1025
947.35,300,942.60,150,-2550,67.25,941.65,94.20,716550,708,439.85,75,439.00,75,31650,72.61,439.00,-127.40,1841550,5776,8484,8000,1028
937.75,150,933.25,150,-1950,67.25,933.85,86.40,717150,777,441.85,75,440.15,75,33225,72.61,441.60,-124.80,1843125,6085,8474,8000,1031
952.10,150,946.70,150,-2550,67.08,949.00,101.55,716550,815,433.65,75,432.35,150,29400,72.47,432.45,-133.95,1839300,6424,8493,8000,1034
945.00,975,942.10,375,-1950,67.08,944.90,97.45,717150,930,428.65,75,427.35,75,36825,72.47,428.80,-137.60,1846725,6861,8490,8000,1037
954.95,75,950.10,225,6300,67.08,954.30,106.85,725400,984,429.00,150,428.00,75,41700,72.47,429.00,-137.40,1851600,7045,8498,8000,1039
960.65,150,955.85,150,6525,67.03,950.45,103.00,725625,985,428.55,75,427.20,75,41700,71.78,428.55,-137.85,1851600,7092,8502,8000,1042
956.25,75,952.90,75,5775,67.03,949.05,101.60,724875,1040,430.35,75,428.85,75,38100,71.78,430.00,-136.40,1848000,7401,8496,8000,1045
945.40,75,941.00,75,5400,67.03,948.00,100.55,724500,1045,438.05,75,436.05,75,38400,71.78,438.00,-128.40,1848300,7536,8487,8000,1049
926.65,75,922.95,75,5475,67.03,925.00,77.55,724575,1055,449.00,75,448.15,75,38025,71.78,448.90,-117.50,1847925,7647,8458,8000,1051
944.25,75,939.50,75,6600,67.17,941.25,93.80,725700,1075,442.00,75,441.35,75,38175,72.59,441.00,-125.40,1848075,7738,8478,8000,1055
940.40,75,935.90,300,7050,67.17,942.20,94.75,726150,1091,445.00,150,443.75,225,36975,72.59,444.50,-121.90,1846875,7769,8475,8000,1057
947.95,150,942.50,150,7125,67.17,951.00,103.55,726225,1131,440.15,75,439.40,150,37950,72.59,440.00,-126.40,1847850,7932,8480,8000,1100
944.00,75,938.65,75,8850,68.14,938.90,91.45,727950,1138,444.60,225,442.75,75,36675,72.50,443.25,-123.15,1846575,8090,8473,8000,1103
941.40,300,936.10,150,8850,68.14,938.90,91.45,727950,1138,443.00,450,442.20,75,36675,72.50,441.85,-124.55,1846575,8098,8474,8000,1106
919.30,150,914.60,75,9075,68.14,920.00,72.55,728175,1154,453.90,75,452.05,75,38400,72.50,452.00,-114.40,1848300,8237,8447,8000,1110
920.00,75,916.85,75,9375,68.14,915.00,67.55,728475,1157,451.80,75,451.00,750,38325,72.50,452.00,-114.40,1848225,8300,8447,8000,1113
923.40,150,919.00,75,9450,68.14,926.40,78.95,728550,1165,452.80,225,451.25,75,39675,72.50,452.40,-114.00,1849575,8472,8449,8000,1115
932.80,75,928.55,75,9375,68.14,922.75,75.30,728475,1171,446.80,150,446.00,75,42000,72.50,447.55,-118.85,1851900,8492,8449,8000,1118
939.05,75,937.00,75,10050,68.14,937.15,89.70,729150,1190,440.85,75,439.55,150,40350,72.50,438.85,-127.55,1850250,8594,8476,8000,1121
951.35,75,945.10,75,10200,68.14,948.20,100.75,729300,1211,435.75,150,435.00,225,40200,72.50,435.30,-131.10,1850100,8671,8490,8000,1125
943.75,225,940.55,150,11175,68.14,945.95,98.50,730275,1219,437.95,75,437.20,150,40650,72.50,437.40,-129.00,1850550,8696,8484,8000,1127
956.90,150,952.40,75,11325,68.14,950.10,102.65,730425,1237,433.00,150,432.05,75,40650,72.50,433.00,-133.40,1850550,8839,8497,8000,1131
962.05,75,957.55,75,11400,68.14,954.00,106.55,730500,1256,432.55,75,431.30,75,43500,72.50,432.45,-133.95,1853400,8961,8501,8000,1134
951.00,75,949.05,75,10725,68.14,947.45,100.00,729825,1278,438.00,150,436.45,75,44325,72.50,438.00,-128.40,1854225,9039,8497,8000,1137
951.85,150,946.80,150,9975,68.14,954.85,107.40,729075,1314,438.85,75,438.00,150,43425,72.50,438.65,-127.75,1853325,9237,8493,8000,1140
960.80,75,956.00,150,9975,68.14,957.50,110.05,729075,1329,434.10,150,432.65,75,43425,72.50,434.55,-131.85,1853325,9315,8507,8000,1143
987.90,75,982.40,150,10050,68.14,983.70,136.25,729150,1391,421.85,150,421.15,75,42750,72.50,421.00,-145.40,1852650,9543,8534,8000,1146
984.00,75,980.75,75,8850,68.14,980.50,133.05,727950,1429,423.15,75,422.00,150,45300,72.50,422.30,-144.10,1855200,9681,8531,8000,1149
986.00,150,980.95,225,8850,68.14,978.05,130.60,727950,1437,422.80,300,421.25,75,45300,72.50,421.95,-144.45,1855200,9805,8534,8000,1152
980.00,150,976.20,75,8850,68.14,977.00,129.55,727950,1445,427.00,75,425.65,75,45975,72.50,426.95,-139.45,1855875,9935,8529,8000,1155
982.85,75,978.30,150,8550,68.14,979.25,131.80,727650,1458,425.00,3900,424.40,225,47100,72.50,424.55,-141.85,1857000,10220,8538,8000,1158
999.70,75,993.65,75,7275,68.14,997.00,149.55,726375,1503,412.55,75,410.20,75,59925,72.50,410.00,-156.40,1869825,10643,8563,8000,1201
991.25,225,986.40,150,7275,68.14,983.80,136.35,726375,1551,414.60,75,414.00,75,50925,72.50,413.45,-152.95,1860825,10761,8552,8000,1204
983.40,75,980.20,75,1875,68.14,982.85,135.40,720975,1616,420.65,75,418.50,75,44850,72.50,419.95,-146.45,1854750,10990,8543,8000,1207
985.05,75,980.45,150,825,68.14,982.00,134.55,719925,1639,421.50,75,420.05,75,47100,72.50,421.00,-145.40,1857000,11083,8548,8000,1210
