ce_askprice,ce_askqty,ce_bidprice,ce_bidqty,ce_chng_in_oi,ce_iv,ce_ltp,ce_net_chng,ce_oi,ce_volume,pe_askprice,pe_askqty,pe_bidprice,pe_bidqty,pe_chng_in_oi,pe_iv,pe_ltp,pe_net_chng,pe_oi,pe_volume,spot_price,strike_price,time
373.65,225,371.50,75,2625,58.34,372.65,23.65,1461150,757,944.90,75,936.85,75,300,67.13,939.00,-109.25,1320000,165,8439,9000,0920
372.45,150,369.90,75,6750,58.88,370.50,21.50,1465275,830,954.50,150,947.20,75,1500,67.37,946.90,-101.35,1321200,183,8427,9000,0922
374.50,75,372.65,150,6750,59.43,372.95,23.95,1465275,1086,950.00,75,946.45,75,1500,68.39,950.00,-98.25,1321200,248,8437,9000,0925
358.60,75,356.85,75,18525,58.88,356.95,7.95,1477050,1835,954.95,75,949.05,75,-1800,67.37,950.00,-98.25,1317900,433,8409,9000,0927
353.80,75,352.05,225,18525,58.51,353.65,4.65,1477050,1932,963.00,75,959.10,150,-1800,66.63,960.00,-88.25,1317900,511,8387,9000,0931
358.00,75,357.15,75,14325,59.41,358.00,9.00,1472850,2428,970.00,75,966.65,75,-975,66.48,969.90,-78.35,1318725,563,8374,9000,0933
354.15,75,352.55,75,16425,59.79,353.90,4.90,1474950,2599,981.95,225,972.75,150,-975,66.68,980.70,-67.55,1318725,654,8365,9000,0937
355.15,75,353.45,75,16425,59.48,352.50,3.50,1474950,2671,965.85,225,961.00,75,-1350,66.60,960.15,-88.10,1318350,694,8388,9000,0939
357.80,75,356.95,75,18075,59.34,357.20,8.20,1476600,2840,966.85,225,962.00,75,-2325,66.98,966.15,-82.10,1317375,713,8392,9000,0942
366.00,75,365.00,75,21000,58.64,365.45,16.45,1479525,3081,949.20,75,945.65,75,-2925,66.81,946.25,-102.00,1316775,774,8432,9000,0945
376.05,225,374.30,150,21075,58.22,375.10,26.10,1479600,3475,917.95,150,912.10,300,-2325,65.99,915.00,-133.25,1317375,885,8458,9000,0949
368.70,75,368.00,75,21225,58.64,369.00,20.00,1479750,3715,929.95,75,924.00,75,675,65.59,925.40,-122.85,1320375,982,8442,9000,0952
376.40,225,374.80,150,20325,58.66,375.80,26.80,1478850,3948,907.65,75,902.20,150,-525,64.98,901.75,-146.50,1319175,1037,8454,9000,0955
371.25,150,369.20,150,20325,58.38,370.05,21.05,1478850,4275,901.15,150,896.90,75,-525,63.75,890.00,-158.25,1319175,1105,8454,9000,0958
367.95,225,366.35,150,16050,58.18,368.35,19.35,1474575,4370,900.85,150,895.50,150,-450,63.23,904.00,-144.25,1319250,1113,8442,9000,1001
361.25,150,359.30,300,18675,58.20,359.55,10.55,1477200,4538,909.80,300,907.85,75,-525,64.10,905.95,-142.30,1319175,1139,8428,9000,1004
360.80,300,360.15,75,20400,58.20,359.90,10.90,1478925,4719,909.00,225,905.00,1125,-1275,64.10,910.00,-138.25,1318425,1160,8431,9000,1007
360.00,300,358.35,225,22575,58.20,358.20,9.20,1481100,4844,911.60,225,905.70,75,-1275,64.10,905.50,-142.75,1318425,1167,8432,9000,1010
