ce_askprice,ce_askqty,ce_bidprice,ce_bidqty,ce_chng_in_oi,ce_iv,ce_ltp,ce_net_chng,ce_oi,ce_volume,pe_askprice,pe_askqty,pe_bidprice,pe_bidqty,pe_chng_in_oi,pe_iv,pe_ltp,pe_net_chng,pe_oi,pe_volume,spot_price,strike_price,time
57.35,75,57.00,975,185100,-,57.00,-129.20,771300,24214,111.40,75,110.75,75,231750,-,110.75,12.00,1073550,26232,8482,8500,0925
52.85,150,52.45,75,476325,-,52.55,-133.65,1062525,33016,109.40,75,108.70,225,360750,-,109.10,10.35,1202550,33084,8476,8500,0928
48.85,75,48.50,300,651225,-,48.80,-137.40,1237425,42399,106.20,825,105.55,375,348300,-,105.65,6.90,1190100,38399,8461,8500,0930
43.45,2175,43.15,375,651225,-,43.45,-142.75,1237425,47332,111.55,75,110.90,150,348300,-,111.00,12.25,1190100,41425,8469,8500,0934
36.75,75,36.60,75,925050,-,36.60,-149.60,1511250,65760,127.75,75,127.30,825,295800,-,127.30,28.55,1137600,53299,8444,8500,0937
39.80,75,39.60,675,925050,-,40.00,-146.20,1511250,74113,132.65,75,132.00,75,295800,-,132.00,33.25,1137600,58691,8435,8500,0940
36.65,525,36.45,75,1023750,-,36.55,-149.65,1609950,86168,138.55,150,138.15,75,234900,-,137.30,38.55,1076700,65351,8424,8500,0942
36.10,3825,35.95,150,1066875,-,36.00,-150.20,1653075,93839,138.80,75,138.10,150,200625,-,138.45,39.70,1042425,69837,8422,8500,0945
34.20,150,34.00,750,1066875,-,34.25,-151.95,1653075,100118,140.00,600,139.35,75,200625,-,139.95,41.20,1042425,72717,8407,8500,0948
28.10,75,28.00,1950,1224000,-,28.00,-158.20,1810200,112027,152.00,450,151.65,75,155625,-,151.70,52.95,997425,78097,8392,8500,0951
24.70,300,24.45,150,1306875,-,24.60,-161.60,1893075,121250,169.35,75,168.50,525,99750,-,168.80,70.05,941550,82629,8367,8500,0954
24.25,225,24.05,600,1306875,-,24.20,-162.00,1893075,126936,173.90,150,173.00,900,99750,-,173.05,74.30,941550,86420,8365,8500,0957
32.35,75,32.05,75,1375500,-,32.30,-153.90,1961700,137385,141.70,75,141.00,150,36450,-,141.10,42.35,878250,91305,8404,8500,1000
27.35,1050,27.15,75,1405050,-,27.05,-159.15,1991250,143514,158.15,375,157.40,75,22200,-,158.15,59.40,864000,94678,8386,8500,1004
28.65,225,28.50,525,1405050,-,28.50,-157.70,1991250,145450,150.80,75,149.95,75,22200,-,150.00,51.25,864000,95619,8401,8500,1007
26.30,675,26.15,75,1444575,-,26.30,-159.90,2030775,155066,158.50,150,157.75,75,17925,-,157.65,58.90,859725,100094,8390,8500,1010
26.20,300,26.00,2475,1444575,-,26.00,-160.20,2030775,157819,160.90,150,160.00,150,17925,-,160.00,61.25,859725,101319,8385,8500,1013
22.20,150,22.05,1125,1533225,-,22.05,-164.15,2119425,168446,168.50,75,167.50,150,8925,-,168.00,69.25,850725,105364,8375,8500,1016
24.40,75,24.25,1425,1550775,-,24.35,-161.85,2136975,172054,159.65,75,159.00,75,2175,-,158.45,59.70,843975,106400,8386,8500,1019
24.05,450,23.85,150,1550775,-,23.95,-162.25,2136975,175138,159.40,75,158.60,225,2175,-,159.10,60.35,843975,107376,8385,8500,1022
23.55,150,23.40,75,1593825,-,23.40,-162.80,2180025,180585,163.80,150,163.20,75,-75,-,163.65,64.90,841725,109214,8381,8500,1025
25.40,75,25.20,1050,1644075,-,25.40,-160.80,2230275,185543,157.60,225,156.70,75,-9300,-,156.55,57.80,832500,110983,8392,8500,1028
21.40,975,21.25,375,1644075,-,21.25,-164.95,2230275,188044,167.70,75,166.80,75,-9300,-,167.95,69.20,832500,111689,8373,8500,1031
23.90,225,23.65,600,1662600,-,23.70,-162.50,2248800,191294,158.05,225,157.15,75,-23325,-,158.00,59.25,818475,112626,8382,8500,1033
21.70,300,21.60,450,1674075,-,21.70,-164.50,2260275,193211,164.00,375,163.30,150,-12600,-,162.85,64.10,829200,113354,8382,8500,1036
